Dataset,Instance,Orders,Items,Aisles,Avg Items/Order,Lower Bound,Upper Bound,Wave Size by Avg Items/Order
a,instance_0001.txt,61,155,116,2.6065573770491803,30,68,14.578616352201259
a,instance_0002.txt,7,7,33,1.0,0,2,2.0
a,instance_0003.txt,82,246,124,3.0365853658536586,33,106,24.04016064257028
a,instance_0004.txt,16,59,91,3.6875,4,40,9.76271186440678
a,instance_0005.txt,2625,6407,161,3.4883809523809526,1322,4395,880.9244293982745
a,instance_0006.txt,10341,7089,184,1.0,452,3892,3440.0
a,instance_0007.txt,8320,5747,180,1.0,1306,3847,2541.0
a,instance_0008.txt,2185,5831,168,3.7510297482837527,1304,2840,409.48755490483165
a,instance_0009.txt,70,222,304,3.3142857142857145,52,153,30.47413793103448
a,instance_0010.txt,1602,3689,383,2.4569288389513106,416,1746,541.3262195121952
a,instance_0011.txt,1029,2784,375,2.8202137998056367,330,2045,608.1099241902136
a,instance_0012.txt,133,337,342,2.6390977443609023,35,177,53.806267806267805
a,instance_0013.txt,8375,7525,413,1.0,1510,4583,3073.0
a,instance_0014.txt,12402,10974,413,1.0,1947,7739,5792.0
a,instance_0015.txt,7367,6633,402,1.0,384,3679,3295.0
a,instance_0016.txt,1108,1051,88,1.0,149,686,537.0
a,instance_0017.txt,417,411,83,1.0,54,175,121.0
a,instance_0018.txt,2682,2309,90,1.0,537,1205,668.0
a,instance_0019.txt,2257,2104,134,1.0,152,999,847.0
a,instance_0020.txt,5,5,5,2.2,5,12,3.1818181818181817
b,instance_0001.txt,11321,7675,185,1.0,1206,3968,2762.0
b,instance_0002.txt,2162,5922,165,3.9199814986123958,626,3405,708.9319174041299
b,instance_0003.txt,2070,5617,164,3.842512077294686,585,2150,407.28564244405334
b,instance_0004.txt,2448,6271,163,3.650326797385621,701,2802,575.5649059982095
b,instance_0005.txt,6468,4959,179,1.0,996,2869,1873.0
b,instance_0006.txt,1857,4982,165,3.4674205708131396,496,3558,883.0771858984314
b,instance_0007.txt,1841,1621,165,1.0,91,833,742.0
b,instance_0008.txt,12334,10365,398,1.0,2235,6120,3885.0
b,instance_0009.txt,5581,4990,417,1.0,1123,3205,2082.0
b,instance_0010.txt,14952,13510,482,1.0,1228,9361,8133.0
b,instance_0011.txt,45112,37820,482,1.0,8541,19101,10560.0
b,instance_0012.txt,28263,24432,483,1.0,6085,12808,6723.0
b,instance_0013.txt,38214,32604,483,1.0,6610,19417,12807.0
b,instance_0014.txt,38202,32238,483,1.0,4795,20406,15611.0
b,instance_0015.txt,11541,9905,398,1.0,2323,7207,4884.0
x,instance_0001.txt,1949,4608,164,2.832734735761929,810,2380,554.2347400833182
x,instance_0002.txt,2942,2485,168,1.0,474,1613,1139.0
x,instance_0003.txt,11330,7399,180,1.0,1831,3958,2127.0
x,instance_0004.txt,2732,6544,172,3.6577598828696924,354,4289,1075.7950565395777
x,instance_0005.txt,11024,7365,182,1.0,1628,5099,3471.0
x,instance_0006.txt,2704,6523,168,3.6205621301775146,1196,2979,492.46496424923396
x,instance_0007.txt,8725,7715,418,1.0,1490,5518,4028.0
x,instance_0008.txt,20364,17991,482,1.0,3937,10520,6583.0
x,instance_0009.txt,39701,33994,483,1.0,6154,19163,13009.0
x,instance_0010.txt,44193,36991,482,1.0,7668,14433,6765.0
x,instance_0011.txt,38657,32534,483,1.0,1773,23553,21780.0
x,instance_0012.txt,52322,43088,483,1.0,3235,28890,25655.0
x,instance_0013.txt,49992,41228,483,1.0,7173,28203,21030.0
x,instance_0014.txt,68064,54106,483,1.0,4039,22918,18879.0
x,instance_0015.txt,2839,6763,171,3.05530116238112,1541,4777,1059.1427253862116
