algorithm,avg_pct_of_best,rank
simple_desc_exact,30.933691304613582,1.0
simple_desc_multi,30.615579604794352,2.0
simple_desc_simple,29.833031935418724,3.0
simple_diff_exact_bigger,28.217719479381778,4.0
simple_diff_multi_bigger,28.08240095711397,5.0
simple_diff_exact_most_shared,27.649046764083472,6.0
simple_diff_multi_most_shared,27.4019557392352,7.0
simple_similar_exact_bigger,27.125166107932397,8.0
simple_similar_multi_bigger,26.995930298247856,9.0
simple_diff_exact_smaller,26.735620494953565,10.0
simple_diff_multi_smaller,26.595141998704502,11.0
simple_diff_exact_random,26.513915624540374,12.0
simple_diff_multi_random,26.144150289615958,13.0
simple_similar_simple_bigger,26.04813639577325,14.0
simple_random_exact,25.633834921215595,15.0
simple_diff_simple_smaller,25.593214606628944,16.0
simple_similar_exact_smaller,25.394259671547694,17.0
simple_similar_exact_random,25.391855296956113,18.0
simple_diff_simple_bigger,25.387725906215643,19.0
simple_similar_multi_smaller,25.246338875848277,20.0
simple_random_multi,25.16797785065378,21.0
simple_diff_simple_most_shared,24.855421074786687,22.0
simple_similar_multi_random,24.818859687699057,23.0
simple_diff_simple_random,24.796329891590702,24.0
simple_similar_exact_most_shared,24.418634865559817,25.0
simple_diff_weighted_exact_most_shared,24.407196848523096,26.0
simple_diff_weighted_exact_random,24.407196848523096,26.0
simple_diff_weighted_exact_bigger,24.407196848523096,26.0
simple_diff_weighted_exact_smaller,24.407196848523096,26.0
simple_similar_weighted_exact_most_shared,24.407196848523096,26.0
simple_similar_weighted_exact_bigger,24.407196848523096,26.0
simple_similar_weighted_exact_smaller,24.407196848523096,26.0
simple_similar_weighted_exact_random,24.407196848523096,26.0
simple_asc_exact,24.407196848523096,26.0
simple_similar_multi_most_shared,24.26482217930632,35.0
simple_similar_weighted_multi_smaller,24.040393584859906,36.0
simple_similar_weighted_multi_random,24.040393584859906,36.0
simple_similar_weighted_multi_most_shared,24.040393584859906,36.0
simple_asc_multi,24.040393584859906,36.0
simple_diff_weighted_multi_random,24.040393584859906,36.0
simple_diff_weighted_multi_most_shared,24.040393584859906,36.0
simple_diff_weighted_multi_smaller,24.040393584859906,36.0
simple_diff_weighted_multi_bigger,24.040393584859906,36.0
simple_similar_weighted_multi_bigger,24.040393584859906,36.0
simple_random_simple,23.91172241059359,45.0
simple_similar_simple_random,23.85917653253651,46.0
simple_similar_simple_most_shared,23.237887974925272,47.0
simple_similar_simple_smaller,22.579893697344563,48.0
simple_similar_weighted_simple_most_shared,21.655953652998996,49.0
simple_similar_weighted_simple_bigger,21.655953652998996,49.0
simple_diff_weighted_simple_smaller,21.655953652998996,49.0
simple_asc_simple,21.655953652998996,49.0
simple_diff_weighted_simple_most_shared,21.655953652998996,49.0
simple_diff_weighted_simple_bigger,21.655953652998996,49.0
simple_similar_weighted_simple_smaller,21.655953652998996,49.0
simple_similar_weighted_simple_random,21.655953652998996,49.0
simple_diff_weighted_simple_random,21.655953652998996,49.0
