algorithm,total_exec_time_mean
simple_diff_weighted_exact_bigger,15.6778486
simple_similar_weighted_exact_bigger,15.5066232
simple_diff_weighted_exact_random,15.189685400000002
simple_similar_weighted_exact_smaller,13.191105
simple_diff_weighted_exact_smaller,13.176863200000001
simple_diff_weighted_exact_most_shared,13.0735094
simple_similar_weighted_exact_random,13.040254599999999
simple_similar_weighted_exact_most_shared,12.9328064
simple_asc_exact,11.6437546
simple_diff_exact_random,11.430614
simple_diff_exact_most_shared,11.417825399999998
simple_similar_exact_most_shared,11.2328258
simple_diff_exact_smaller,11.179288600000001
simple_similar_exact_bigger,11.138881999999999
simple_diff_exact_bigger,10.6706614
simple_similar_exact_smaller,10.6172836
simple_similar_exact_random,10.482572
simple_random_exact,9.1720276
simple_desc_exact,7.3126302
simple_diff_multi_random,6.5989146
simple_diff_weighted_multi_smaller,6.435352999999999
simple_similar_weighted_multi_most_shared,6.1782434
simple_similar_weighted_simple_random,6.038307199999999
simple_similar_multi_most_shared,5.9497322
simple_diff_weighted_simple_smaller,5.8440726
simple_similar_simple_smaller,5.8402242
simple_similar_weighted_simple_most_shared,5.838131799999999
simple_similar_weighted_multi_random,5.665411
simple_diff_weighted_multi_random,5.4867843999999995
simple_diff_weighted_multi_most_shared,5.4677489999999995
simple_similar_weighted_multi_bigger,5.4616549999999995
simple_diff_multi_most_shared,5.327236999999999
simple_similar_weighted_multi_smaller,5.296902599999999
simple_similar_multi_bigger,5.2652252
simple_similar_weighted_simple_bigger,5.264935599999999
simple_diff_weighted_simple_random,5.2568744
simple_diff_weighted_multi_bigger,5.237103599999999
simple_similar_multi_random,5.191605399999999
simple_similar_multi_smaller,5.187117799999999
simple_diff_multi_bigger,5.1762825999999995
simple_diff_weighted_simple_most_shared,5.145721
simple_similar_weighted_simple_smaller,5.1212854
simple_diff_multi_smaller,5.0980592
simple_diff_weighted_simple_bigger,5.0802651999999995
simple_desc_multi,4.849389399999999
simple_asc_multi,4.8157276
simple_asc_simple,4.7414482
simple_similar_simple_random,4.726148599999999
simple_diff_simple_most_shared,4.609965
simple_similar_simple_bigger,4.6060886
simple_random_multi,4.4462906
simple_diff_simple_bigger,4.4282386
simple_diff_simple_smaller,4.3396152
simple_diff_simple_random,4.297509
simple_similar_simple_most_shared,4.257294399999999
simple_random_simple,3.5354873999999996
simple_desc_simple,3.0688921999999996
