dataset,instance,best_objective
a,instance_0001.txt,12.0
a,instance_0002.txt,2.0
a,instance_0003.txt,6.6
a,instance_0004.txt,-1
a,instance_0005.txt,176.75
a,instance_0006.txt,438.6666666666667
a,instance_0007.txt,342.25
a,instance_0008.txt,143.21052631578948
a,instance_0009.txt,-1
a,instance_0010.txt,15.63963963963964
a,instance_0011.txt,13.054545454545455
a,instance_0012.txt,5.571428571428571
a,instance_0013.txt,102.2
a,instance_0014.txt,166.91666666666666
a,instance_0015.txt,126.75
a,instance_0016.txt,77.5
a,instance_0017.txt,28.0
a,instance_0018.txt,110.6
a,instance_0019.txt,202.0
a,instance_0020.txt,5.0
