dataset,instance,best_objective
a,instance_0001.txt,1.631578947368421
a,instance_0002.txt,2.0
a,instance_0003.txt,1.9411764705882353
a,instance_0004.txt,1.25
a,instance_0005.txt,-1
a,instance_0006.txt,-1
a,instance_0007.txt,-1
a,instance_0008.txt,-1
a,instance_0009.txt,1.6363636363636365
a,instance_0010.txt,-1
a,instance_0011.txt,-1
a,instance_0012.txt,1.3333333333333333
a,instance_0013.txt,-1
a,instance_0014.txt,-1
a,instance_0015.txt,-1
a,instance_0016.txt,3.3863636363636362
a,instance_0017.txt,1.7419354838709677
a,instance_0018.txt,-1
a,instance_0019.txt,2.7142857142857144
a,instance_0020.txt,2.0
