dataset,instance,best_objective
a,instance_0001.txt,7.444444444444445
a,instance_0002.txt,2.0
a,instance_0003.txt,5.0476190476190474
a,instance_0004.txt,2.2222222222222223
a,instance_0005.txt,-1
a,instance_0006.txt,-1
a,instance_0007.txt,-1
a,instance_0008.txt,-1
a,instance_0009.txt,3.3260869565217392
a,instance_0010.txt,-1
a,instance_0011.txt,-1
a,instance_0012.txt,2.2278481012658227
a,instance_0013.txt,-1
a,instance_0014.txt,-1
a,instance_0015.txt,-1
a,instance_0016.txt,11.064516129032258
a,instance_0017.txt,6.730769230769231
a,instance_0018.txt,-1
a,instance_0019.txt,-1
a,instance_0020.txt,3.3333333333333335
