dataset,instance,best_objective
a,instance_0001.txt,-1
a,instance_0002.txt,1.0
a,instance_0003.txt,3.4193548387096775
a,instance_0004.txt,1.8571428571428572
a,instance_0005.txt,-1
a,instance_0006.txt,-1
a,instance_0007.txt,-1
a,instance_0008.txt,-1
a,instance_0009.txt,2.1549295774647885
a,instance_0010.txt,-1
a,instance_0011.txt,-1
a,instance_0012.txt,-1
a,instance_0013.txt,-1
a,instance_0014.txt,-1
a,instance_0015.txt,-1
a,instance_0016.txt,9.146666666666667
a,instance_0017.txt,3.5
a,instance_0018.txt,-1
a,instance_0019.txt,-1
a,instance_0020.txt,3.0
