dataset,instance,best_objective
a,instance_0001.txt,2.8333333333333335
a,instance_0002.txt,2.0
a,instance_0003.txt,-1
a,instance_0004.txt,1.7727272727272727
a,instance_0005.txt,-1
a,instance_0006.txt,-1
a,instance_0007.txt,-1
a,instance_0008.txt,-1
a,instance_0009.txt,2.095890410958904
a,instance_0010.txt,-1
a,instance_0011.txt,-1
a,instance_0012.txt,2.0344827586206895
a,instance_0013.txt,-1
a,instance_0014.txt,-1
a,instance_0015.txt,-1
a,instance_0016.txt,9.527777777777779
a,instance_0017.txt,3.723404255319149
a,instance_0018.txt,-1
a,instance_0019.txt,-1
a,instance_0020.txt,4.0
