dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,13.027777777777777,12.5,15.0,9.0,15.0,3.301543209876542,1.8170149173511323,41.06666666666667,45.0,45,30,53,58.528888888888886,7.650417563041176,3.2,3.0,3,2,4,0.42666666666666675,0.6531972647421809,0.017684828099936566,0.017509934999907273,0.014372648000062327,0.013674300000275252,0.024188453000533627,7.097808752289898e-06,0.002664171306858832
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.00010559596670039658,9.945749980033725e-05,0.0002495759999874281,9.420600053999806e-05,0.0002495759999874281,7.435314666059992e-10,2.726777340755932e-05
a,instance_0003.txt,7.3372222222222225,7.166666666666667,8.2,6.5,8.75,0.5009015432098763,0.7077439814013796,37.2,36.0,41,33,43,11.960000000000004,3.4583232931581174,5.1,5.0,5,4,6,0.29,0.5385164807134504,0.04015240499987461,0.041267458999755036,0.027622659999906318,0.027622659999906318,0.05825808000008692,5.722509252576747e-05,0.007564726863923606
a,instance_0004.txt,3.216666666666667,3.5,3.5,2.3333333333333335,3.5,0.13916666666666666,0.3730504880933232,7.566666666666666,7.0,7,6,9,0.9122222222222223,0.9551032521262935,2.4,2.0,2,2,3,0.24000000000000005,0.48989794855663565,0.0031414434666961217,0.0031319479994635913,0.0036182569992888602,0.002665672999683011,0.0036182569992888602,4.83458743455629e-08,0.00021987695273848712
a,instance_0005.txt,140.36,140.4,140.4,133.8,143.5,3.8467746556473736,1.9613196209815915,1417.3333333333333,1404.0,1404,1338,1525,1255.3555555555554,35.430997100781056,10.1,10.0,10,10,11,0.08999999999999998,0.3,1.370017402366678,1.0006092854996496,2.0424881770004504,0.8600892049998947,2.7286142450002444,0.44413692031821916,0.6664359836610109
a,instance_0006.txt,611.5333333333333,620.5,603.0,517.0,691.0,2281.3155555555554,47.76311919834754,611.5333333333333,620.5,603,517,691,2281.3155555555554,47.76311919834754,1.0,1.0,1,1,1,0.0,0.0,0.3724566338000235,0.3532712584997171,0.3556332830003157,0.28473485600079584,0.5981599160004407,0.005505717681239943,0.07420052345664378
a,instance_0007.txt,294.91499999999996,291.9,296.4,265.2,328.25,284.2691916666667,16.86028444797616,1419.8666666666666,1445.0,1482,1313,1482,3834.7155555555555,61.92508018206804,4.833333333333333,5.0,5,4,5,0.13888888888888887,0.3726779962499649,0.7443328562999947,0.5387951775001056,0.9792942979993313,0.32519632399998954,1.5587054950001402,0.1562351496401259,0.3952659226901883
a,instance_0008.txt,129.28010101010102,128.63636363636363,127.54545454545455,125.63636363636364,132.2,4.870395735129055,2.206897309602115,1395.3,1403.0,1403,1322,1525,2935.21,54.17757838811181,10.8,11.0,11,10,12,0.2933333333333333,0.541602560309064,1.239028986399929,0.880103836499984,1.57301324799937,0.8448263869995571,2.7212806349998573,0.40390339708440526,0.6355339464453533
a,instance_0009.txt,2.678508771929824,2.65,2.5238095238095237,2.5238095238095237,3.375,0.048946543991557866,0.22123865844729276,54.21052631578947,53.0,53,53,64,6.481994459833794,2.5459761310416473,20.31578947368421,21.0,21,16,21,1.2686980609418281,1.1263649767911945,0.19096726131585073,0.1903995370003031,0.1903995370003031,0.13299525399997947,0.262473014000534,0.0019475925100370644,0.0441315364567909
a,instance_0012.txt,6.655826719576719,6.833333333333333,7.0,3.1875,9.0,1.2529109045187004,1.119335027826209,45.06666666666667,49.0,49,36,52,30.86222222222223,5.555377774933243,7.066666666666666,7.0,7,4,16,4.2622222222222215,2.0645150089602695,0.2456919177333778,0.2709247815000708,0.18354304900003626,0.12535947000014858,0.31896776299981866,0.004029638976315185,0.06347943742910128
