dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,15.0,15.0,15.0,15.0,15.0,0.0,0.0,45.0,45.0,45,45,45,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.19739321550002842,0.19739321550002842,0.23793917400007558,0.15684725699998125,0.23793917400007558,0.0016439747506875467,0.04054595850004716
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.01678448149993983,0.01678448149993983,0.018821534999915457,0.014747427999964202,0.018821534999915457,4.1495869617629536e-06,0.0020370534999756273
a,instance_0003.txt,12.0,12.0,12.0,12.0,12.0,0.0,0.0,48.0,48.0,48,48,48,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,1.2938701250000122,1.2938701250000122,1.348757599999999,1.2389826500000254,1.348757599999999,0.0030126349118741766,0.05488747499998681
a,instance_0004.txt,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.06411405850008123,0.06411405850008123,0.05819261800002096,0.05819261800002096,0.0700354990001415,3.506345759575403e-05,0.005921440500060271
a,instance_0005.txt,33.541984732824424,33.541984732824424,33.541984732824424,33.541984732824424,33.541984732824424,0.0,0.0,4394.0,4394.0,4394,4394,4394,0.0,0.0,131.0,131.0,131,131,131,0.0,0.0,4.425405125999987,4.425405125999987,4.5258595010000136,4.32495075099996,4.5258595010000136,0.010091081456645975,0.10045437500002663
a,instance_0006.txt,28.61764705882353,28.61764705882353,28.61764705882353,28.61764705882353,28.61764705882353,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,136.0,136.0,136,136,136,0.0,0.0,4.629273629500062,4.629273629500062,4.6416766790000565,4.616870580000068,4.6416766790000565,0.00015383563689930804,0.012403049499994268
a,instance_0007.txt,27.8768115942029,27.8768115942029,27.8768115942029,27.8768115942029,27.8768115942029,0.0,0.0,3847.0,3847.0,3847,3847,3847,0.0,0.0,138.0,138.0,138,138,138,0.0,0.0,4.6304891155000405,4.6304891155000405,4.629268855999953,4.629268855999953,4.631709375000128,1.4890332475530516e-06,0.0012202595000871952
a,instance_0008.txt,78.2,78.2,78.2,78.2,78.2,0.0,0.0,2346.0,2346.0,2346,2346,2346,0.0,0.0,30.0,30.0,30,30,30,0.0,0.0,4.519210067000017,4.519210067000017,4.558688318999884,4.47973181500015,4.558688318999884,0.0015585323809650105,0.0394782519998671
a,instance_0009.txt,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,0.0,0.0,53.0,53.0,53,53,53,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,4.4637045814999965,4.4637045814999965,4.463522837000028,4.463522837000028,4.463886325999965,3.303106326889907e-08,0.0001817444999687723
a,instance_0010.txt,8.352941176470589,8.352941176470589,8.352941176470589,8.352941176470589,8.352941176470589,0.0,0.0,568.0,568.0,568,568,568,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,4.738051710500031,4.738051710500031,4.862568879000037,4.613534542000025,4.862568879000037,0.015504525251258871,0.12451716850000594
