dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.0001474776332543115,0.00015759999951114878,0.0002666950003913371,8.846200034895446e-05,0.0002666950003913371,1.3403376579441866e-09,3.661062220099771e-05
a,instance_0002.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0003165512999657949,0.00030958950037529576,0.00030529200012097135,0.00029879000067012385,0.0003948719995605643,3.4802331334526327e-10,1.8655382958954858e-05
a,instance_0003.txt,8.5,8.5,8.5,8.5,8.5,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.00035339803325769027,0.0003584290002436319,0.00025469100000918843,0.0001938799996423768,0.0006708979999530129,8.163519106674822e-09,9.035219480828798e-05
a,instance_0004.txt,3.0,3.0,3.0,3.0,3.0,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.0001664833333355394,0.00016328650008290424,0.00022182199973030947,0.00015263900058926083,0.00022182199973030947,1.968677675816111e-10,1.4030957472019189e-05
a,instance_0005.txt,167.5,167.5,167.5,167.5,167.5,0.0,0.0,1340.0,1340.0,1340,1340,1340,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.00845880023328694,0.008419678499649308,0.008570403000703664,0.0053306029994928394,0.010089832999256032,1.5146337317245356e-06,0.0012307045671990234
a,instance_0006.txt,211.6666666666667,211.66666666666666,211.66666666666666,211.66666666666666,211.66666666666666,3.2311742677852644e-27,5.684341886080802e-14,635.0,635.0,635,635,635,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.006740914533475006,0.006134473500424065,0.00847803099986777,0.004073173000506358,0.010821031999512343,2.4007692417833217e-06,0.0015494415903103034
a,instance_0007.txt,196.42857142857144,196.42857142857142,196.42857142857142,196.42857142857142,196.42857142857142,8.077935669463161e-28,2.842170943040401e-14,1375.0,1375.0,1375,1375,1375,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,0.010722610999952547,0.008419600000252103,0.02214982100031193,0.007521725000515289,0.02214982100031193,1.5102844710920025e-05,0.003886237860826332
a,instance_0008.txt,118.63636363636361,118.63636363636364,118.63636363636364,118.63636363636364,118.63636363636364,8.077935669463161e-28,2.842170943040401e-14,1305.0,1305.0,1305,1305,1305,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,0.01130140573332028,0.012521343499884097,0.012277109999558888,0.0070034039999882225,0.013899021000725043,5.63653127398651e-06,0.0023741380065165777
a,instance_0009.txt,3.388888888888888,3.388888888888889,3.388888888888889,3.388888888888889,3.388888888888889,7.888609052210118e-31,8.881784197001252e-16,61.0,61.0,61,61,61,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,0.004275691600044714,0.003453355500369071,0.005918810999901325,0.0026813750000656,0.007674796999708633,1.8813528870839816e-06,0.0013716241785139184
a,instance_0010.txt,9.72093023255814,9.720930232558139,9.720930232558139,9.720930232558139,9.720930232558139,3.1554436208840472e-30,1.7763568394002505e-15,418.0,418.0,418,418,418,0.0,0.0,43.0,43.0,43,43,43,0.0,0.0,0.03076468763332135,0.03221493949968135,0.03282750699963799,0.020600011999704293,0.04905956000038714,5.7745004174145916e-05,0.007599013368467377
