dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,0.0,0.0,32.0,32.0,32,32,32,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,0.0009549777333328773,0.0008886404998520447,0.0012388300001475727,0.0008712019998711185,0.001312997999775689,1.589597573909024e-08,0.0001260792438868914
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,3.322643336408267e-05,3.0433000119955977e-05,9.109999973588856e-05,2.917200072261039e-05,9.109999973588856e-05,1.2529369954254333e-10,1.1193466824114115e-05
a,instance_0003.txt,3.400000000000001,3.4,3.4,3.4,3.4,7.888609052210118e-31,8.881784197001252e-16,34.0,34.0,34,34,34,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,0.0017415773333899172,0.0017303240001638187,0.0018150510004488751,0.0017142990000138525,0.0018616420002217637,1.0001690512904485e-09,3.162544942432358e-05
a,instance_0004.txt,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.0004280819664927549,0.00042477399938434246,0.00048429199978272663,0.00041449599939369364,0.00048429199978272663,2.334908843589664e-10,1.528040851413883e-05
a,instance_0005.txt,22.931034482758616,22.93103448275862,22.93103448275862,22.93103448275862,22.93103448275862,1.262177448353619e-29,3.552713678800501e-15,1330.0,1330.0,1330,1330,1330,0.0,0.0,58.0,58.0,58,58,58,0.0,0.0,0.2769967903666232,0.2686677185006374,0.3863904330000878,0.17585280999992392,0.3863904330000878,0.004998997693539803,0.07070359038648463
a,instance_0006.txt,24.105263157894726,24.105263157894736,24.105263157894736,24.105263157894736,24.105263157894736,1.135959703518257e-28,1.0658141036401503e-14,458.0,458.0,458,458,458,0.0,0.0,19.0,19.0,19,19,19,0.0,0.0,0.26495635800004796,0.28343894850013385,0.3342782529998658,0.1591385319998153,0.3660829210002703,0.007065566754477569,0.08405692567824241
a,instance_0007.txt,20.12307692307693,20.123076923076923,20.123076923076923,20.123076923076923,20.123076923076923,5.048709793414476e-29,7.105427357601002e-15,1308.0,1308.0,1308,1308,1308,0.0,0.0,65.0,65.0,65,65,65,0.0,0.0,0.9662133289000546,0.8406780790000994,1.882703035999839,0.7900067700002182,1.981651592000162,0.10160368861873662,0.3187533350707669
a,instance_0008.txt,28.39130434782609,28.391304347826086,28.391304347826086,28.391304347826086,28.391304347826086,1.262177448353619e-29,3.552713678800501e-15,1306.0,1306.0,1306,1306,1306,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.2150172071000573,0.20344805800004906,0.22226938899984816,0.19119758699980594,0.27703627400023834,0.0007399578102184143,0.027202165542809534
a,instance_0009.txt,2.863636363636363,2.8636363636363638,2.8636363636363638,2.8636363636363638,2.8636363636363638,7.888609052210118e-31,8.881784197001252e-16,63.0,63.0,63,63,63,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,0.005449761300011838,0.004697811000369256,0.003705308000462537,0.003467401000307291,0.008299860000079207,3.0014211629734777e-06,0.0017324610134065001
a,instance_0010.txt,3.897196261682242,3.897196261682243,3.897196261682243,3.897196261682243,3.897196261682243,7.888609052210118e-31,8.881784197001252e-16,417.0,417.0,417,417,417,0.0,0.0,107.0,107.0,107,107,107,0.0,0.0,0.2945700516666572,0.36685064550010793,0.3904430530001264,0.16998357699958433,0.39501558800020575,0.009297006203637602,0.0964209842494755
a,instance_0011.txt,5.387096774193546,5.387096774193548,5.387096774193548,5.387096774193548,5.387096774193548,3.1554436208840472e-30,1.7763568394002505e-15,334.0,334.0,334,334,334,0.0,0.0,62.0,62.0,62,62,62,0.0,0.0,0.1744337352999537,0.189342731999659,0.17199583599995094,0.10079934999976103,0.2632175400003689,0.00144274927023669,0.037983539464308616
