dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,2.9520199509325336,2.8333333333333335,2.8333333333333335,2.310344827586207,3.7777777777777777,0.16959779081542548,0.4118225234435648,67.66666666666667,68.0,68,67,68,0.22222222222222224,0.4714045207910317,23.366666666666667,24.0,24,18,29,10.365555555555556,3.2195582857832465,0.002350561566709075,0.002171699000427907,0.00196358599987434,0.0016243399995801155,0.005583889000263298,6.391932796214566e-07,0.0007994956407770192
a,instance_0002.txt,1.5,1.5,2.0,1.0,2.0,0.25,0.5,2.0,2.0,2,2,2,0.0,0.0,1.5,1.5,1,1,2,0.25,0.5,5.444256667033187e-05,5.141400015418185e-05,0.00010783400011860067,4.050499956065323e-05,0.00010783400011860067,1.879143422905514e-10,1.3708185229655725e-05
a,instance_0003.txt,2.8850253348385975,2.9444444444444446,3.212121212121212,2.3863636363636362,3.212121212121212,0.05989188511779132,0.24472818619397177,105.76666666666667,106.0,106,105,106,0.1788888888888889,0.4229525846816507,36.93333333333333,36.0,33,33,44,10.395555555555555,3.2242139438249993,0.0035079037999821592,0.0030918954998924164,0.004682357000092452,0.002355658999476873,0.005975403000775259,1.008438471655842e-06,0.0010042103722108441
a,instance_0004.txt,1.7311985376264554,1.6956521739130435,1.6956521739130435,1.56,2.111111111111111,0.019553086734764084,0.13983235224641,39.233333333333334,39.0,39,37,40,0.4455555555555554,0.6674994798166928,22.8,23.0,23,18,25,3.0266666666666677,1.7397317800933187,0.0012421660999279993,0.0012678755001616082,0.000635368999610364,0.000635368999610364,0.001780581999810238,3.959669748024615e-08,0.00019898918935521635
a,instance_0005.txt,31.795536331871585,31.847826086956523,31.847826086956523,30.727272727272727,32.31617647058823,0.13746943433920358,0.3707687073354541,4394.6,4395.0,4395,4394,4395,0.23999999999999996,0.4898979485566356,138.23333333333332,138.0,138,136,143,2.6455555555555565,1.6265163865007806,0.18164526289986802,0.19693739299964363,0.19947070099988196,0.14216260600005626,0.21694654499970056,0.0007106381069954785,0.026657796364206073
a,instance_0006.txt,26.67875898050913,26.65753424657534,26.476190476190474,25.605263157894736,27.602836879432623,0.24015190628096095,0.4900529627305205,3892.0,3892.0,3892,3892,3892,0.0,0.0,145.93333333333334,146.0,147,141,152,7.26222222222222,2.694851057521031,0.13949150396665572,0.1135958429999846,0.24670227899969177,0.10287559500011412,0.24670227899969177,0.0015933963128990163,0.03991736856180548
a,instance_0007.txt,26.295224514733288,26.34931506849315,26.34931506849315,25.64666666666667,26.902097902097903,0.15622175254090326,0.39524897538248377,3847.0,3847.0,3847,3847,3847,0.0,0.0,146.33333333333334,146.0,146,143,150,4.822222222222222,2.1959558789334137,0.14510841976665081,0.14450538150003922,0.22253611099949921,0.10268984300000739,0.2331508629995369,0.001513781116429768,0.038907340135632094
a,instance_0008.txt,21.222976106902323,21.19402985074627,21.19402985074627,20.57246376811594,22.015503875968992,0.11781040606901817,0.3432352051713492,2839.6,2840.0,2840,2839,2840,0.24000000000000005,0.48989794855663565,133.83333333333334,134.0,134,129,138,4.672222222222222,2.1615323782497966,0.1213884204998673,0.12861191549973228,0.13674036899919884,0.061444617999768525,0.18637251699965418,0.0008270402776303509,0.028758307975789377
a,instance_0009.txt,2.040821935101792,2.0065789473684212,2.1857142857142855,1.853658536585366,2.3181818181818183,0.020500377794073318,0.143179529940817,152.6,153.0,153,152,153,0.23999999999999996,0.4898979485566356,75.13333333333334,76.0,79,66,82,26.382222222222218,5.136362742468859,0.016551057766688852,0.01647639849988991,0.03170494200003304,0.01280660500015074,0.03170494200003304,1.016840221051053e-05,0.0031887932216609046
a,instance_0010.txt,5.62017380120317,5.614147909967846,5.578274760383387,5.4733542319749215,5.781456953642384,0.006417487157767244,0.08010922017949772,1745.8333333333333,1746.0,1746,1745,1746,0.13888888888888887,0.3726779962499649,310.7,311.0,311,302,319,19.610000000000003,4.428317965096906,0.21095197413330122,0.21008059400037382,0.4084584600004746,0.13691681000000244,0.4084584600004746,0.004185671327606842,0.0646967644291957
