dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,13.03611111111111,12.5,15.0,11.333333333333334,15.0,2.219760802469135,1.4898861709772109,41.1,45.0,34,30,53,71.95666666666666,8.482727548770304,3.2,3.0,4,2,4,0.56,0.7483314773547883,0.0229356221667634,0.019696936500167794,0.016970532000414096,0.014883695999742486,0.047099700000217126,6.586547179836456e-05,0.008115754542762156
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.00014820053341585055,0.0001262905002477055,0.000415806000091834,9.683699954621261e-05,0.000415806000091834,3.894028378663717e-09,6.240215043300765e-05
a,instance_0003.txt,7.487222222222221,7.300000000000001,7.4,5.833333333333333,8.75,0.693920061728395,0.8330186442861859,36.766666666666666,36.0,37,33,43,10.578888888888889,3.2525203902341473,4.966666666666667,5.0,5,4,6,0.4322222222222222,0.6574360974438673,0.03539408096673166,0.032588286999725824,0.029175677000239375,0.028111091000027955,0.06531701999938377,6.744675111491117e-05,0.008212597099268365
a,instance_0004.txt,3.2,3.5,3.5,2.3333333333333335,3.5,0.13777777777777772,0.3711842908553347,7.633333333333334,7.0,7,6,9,0.9655555555555558,0.9826268648655785,2.433333333333333,2.0,2,2,3,0.2455555555555556,0.4955356249106169,0.004447444333375946,0.0041268059999310935,0.003369377999661083,0.002605489999950805,0.00832520700078021,2.2750153658004787e-06,0.0015083154066044937
a,instance_0005.txt,140.19545454545457,140.4,140.4,132.0,143.5,7.402775482093659,2.7208041976764257,1424.4666666666667,1408.0,1404,1401,1519,987.4488888888885,31.423699478083233,10.166666666666666,10.0,10,10,11,0.1388888888888889,0.37267799624996495,1.3362021136333169,1.294490020500234,1.6723560079999515,1.1210872450001261,1.73063597700002,0.025780285330104406,0.1605624032272325
a,instance_0006.txt,600.8777777777777,642.0,648.0,321.3333333333333,691.0,6864.64987654321,82.85318265789921,668.9333333333333,648.0,648,517,1018,14179.195555555556,119.07642737148086,1.1666666666666667,1.0,1,1,3,0.20555555555555555,0.45338235029118146,0.29941230303329575,0.31686323849953624,0.44118835300014325,0.16482044399981532,0.44118835300014325,0.004692498425684319,0.06850181330216244
a,instance_0007.txt,299.8883333333333,293.4,328.25,273.4,328.25,379.79828055555566,19.488414008214104,1400.9666666666667,1403.0,1313,1313,1482,4192.898888888889,64.75259754549533,4.7,5.0,5,4,5,0.21000000000000002,0.45825756949558405,0.6589739384999727,0.6341122289995837,0.795186072999968,0.3455905949995213,1.1150357829992572,0.038258097432704724,0.19559677255186173
a,instance_0008.txt,128.42136363636362,128.27272727272728,132.2,123.0,132.2,10.893732223752657,3.3005654400045845,1385.4333333333334,1384.5,1322,1322,1525,3031.8455555555556,55.06219715517676,10.8,11.0,11,10,12,0.36,0.6,1.0338894861333756,0.8908223435000764,1.5934706549996918,0.7944197329998133,1.8196249220000027,0.08329012979855192,0.2886002941761355
a,instance_0009.txt,2.7355042016806723,2.65,2.65,2.5238095238095237,3.375,0.06327001388790815,0.25153531340133567,54.8235294117647,53.0,53,53,64,12.145328719723183,3.485014880846735,20.11764705882353,20.0,20,16,21,1.2802768166089964,1.1314931800983143,0.15709858676489283,0.16063506499995128,0.17830744900038553,0.11655601100028434,0.185993850000159,0.00034975516241030253,0.018701742229276463
a,instance_0012.txt,7.0175793650793645,7.0,7.0,3.3333333333333335,9.0,1.0668171469513732,1.032868407374034,44.4,46.0,49,36,51,28.24,5.314132102234569,6.533333333333333,7.0,7,4,12,2.3822222222222225,1.5434449203720302,0.1843517018665807,0.18982461250016058,0.16480771300030028,0.12693378700078028,0.23299450400008936,0.0007041309117258106,0.02653546516882285
