dataset,instance,best_objective
a,instance_0001.txt,15.0
a,instance_0002.txt,2.0
a,instance_0003.txt,7.2
a,instance_0004.txt,3.5
a,instance_0005.txt,149.68
a,instance_0006.txt,691.0
a,instance_0007.txt,372.5
a,instance_0008.txt,146.6315789473684
a,instance_0009.txt,3.2
a,instance_0010.txt,12.496402877697841
a,instance_0011.txt,11.1875
a,instance_0012.txt,11.25
a,instance_0013.txt,107.85714285714286
a,instance_0014.txt,177.36363636363637
a,instance_0015.txt,147.0
a,instance_0016.txt,85.0
a,instance_0017.txt,36.5
a,instance_0018.txt,115.4
a,instance_0019.txt,202.0
a,instance_0020.txt,4.5
