dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,3.150917233153885,3.0681818181818183,3.238095238095238,2.4285714285714284,4.1875,0.13841102062795166,0.3720363162756449,67.66666666666667,68.0,68,67,68,0.2222222222222222,0.4714045207910317,21.766666666666666,22.0,21,16,28,6.312222222222221,2.512413624828169,0.0021550837665927245,0.0021272679996400257,0.002264714999910211,0.0017285499998251908,0.002898664999520406,5.962489066413548e-08,0.0002441820850597674
a,instance_0002.txt,1.2666666666666666,1.0,1.0,1.0,2.0,0.1955555555555555,0.44221663871405326,2.0,2.0,2,2,2,0.0,0.0,1.7333333333333334,2.0,2,1,2,0.1955555555555555,0.44221663871405326,5.49441665498307e-05,5.3568500334222335e-05,0.0001620780003577238,3.6871999327559024e-05,0.0001620780003577238,4.550819356443536e-10,2.133264952237189e-05
a,instance_0003.txt,3.2261284636986076,3.164884135472371,3.1176470588235294,2.5853658536585367,4.416666666666667,0.15136795696531166,0.38906035131494915,105.83333333333333,106.0,106,105,106,0.1388888888888889,0.37267799624996495,33.233333333333334,33.5,34,24,41,13.045555555555556,3.611863169550524,0.006057531866645149,0.006324527000288072,0.0033781689999159425,0.0033781689999159425,0.007387139999991632,1.0649720894357786e-06,0.001031974849226365
a,instance_0004.txt,1.8093134323511897,1.7954545454545454,1.6956521739130435,1.5,2.2222222222222223,0.02559883693980752,0.15999636539561615,39.4,39.0,39,37,40,0.44,0.6633249580710799,21.933333333333334,22.0,21,18,26,3.328888888888889,1.8245242911205344,0.0010079363334322504,0.0009312230004070443,0.0009371369997097645,0.0006703559993184172,0.0019979429998784326,8.840604441385751e-08,0.000297331539554514
a,instance_0005.txt,32.218068838404314,32.19455775010734,32.31617647058823,31.392857142857142,33.54961832061068,0.2028790553621401,0.450420975712877,4394.766666666666,4395.0,4395,4394,4395,0.1788888888888889,0.4229525846816507,136.43333333333334,136.5,135,131,140,3.5788888888888892,1.891795149821695,0.16701231809996292,0.17328460499993525,0.16779450699868903,0.11615883600097732,0.28756632399927184,0.0020366004985548827,0.04512871035776319
a,instance_0006.txt,27.340555754526925,27.505643791828987,27.602836879432623,26.2972972972973,28.61764705882353,0.247812491026216,0.497807684780193,3892.0,3892.0,3892,3892,3892,0.0,0.0,142.4,141.5,141,136,148,6.773333333333331,2.6025628394590843,0.2484142548334906,0.23947371049962385,0.37069807300031243,0.1655704959994182,0.3726654839992989,0.006218166587553444,0.07885535230758559
a,instance_0007.txt,26.67618104874256,26.53103448275862,26.53103448275862,26.170068027210885,27.478571428571428,0.11120107287095209,0.33346824866987274,3847.0,3847.0,3847,3847,3847,0.0,0.0,144.23333333333332,145.0,145,140,147,3.17888888888889,1.7829438827088446,0.19990660770011648,0.16822819550088752,0.30476284799988207,0.15937462200054142,0.37302969499978644,0.0031508994211140494,0.05613287290985603
a,instance_0008.txt,21.48232107411727,21.515151515151516,21.671755725190838,20.72992700729927,22.1875,0.17350618652030828,0.4165407381281071,2839.6,2840.0,2840,2839,2840,0.24000000000000005,0.48989794855663565,132.23333333333332,132.0,131,128,137,6.7122222222222225,2.5907956735764057,0.2175678192333483,0.215260656999817,0.18250015000012354,0.13347708499895816,0.27988810500028194,0.0015903769098201583,0.03987952995986987
a,instance_0009.txt,2.264922115104334,2.2263427109974425,2.0675675675675675,2.026666666666667,2.6379310344827585,0.02726756237907817,0.16512892653644354,152.63333333333333,153.0,153,152,153,0.2322222222222223,0.48189440982669873,67.73333333333333,68.5,63,58,75,22.32888888888888,4.725345372445159,0.02186478583347101,0.021686198000679724,0.03112127100030193,0.018871300000682822,0.03112127100030193,4.382727608167894e-06,0.0020934965030226095
a,instance_0010.txt,5.884847441252988,5.898648648648648,5.898648648648648,5.650485436893204,6.258064516129032,0.014542234753925675,0.12059118854180713,1745.9,1746.0,1746,1745,1746,0.09000000000000004,0.30000000000000004,296.8,296.0,296,279,309,35.96000000000001,5.99666574022598,0.35379772153325273,0.2895974689990908,0.5278832650001277,0.24610647800000152,0.6016997970000375,0.014403608887530865,0.12001503608936201
a,instance_0011.txt,6.901950945578821,6.905405405405405,6.905405405405405,6.768211920529802,7.097222222222222,0.008235605282339232,0.09075023571506155,2044.4666666666667,2044.0,2044,2044,2045,0.24888888888888897,0.4988876515698589,296.26666666666665,296.0,296,288,302,14.99555555555556,3.8724095283886957,0.3249403558334961,0.30967773999964265,0.4376554840000608,0.20879977500044333,0.45061391499984893,0.007377971765882685,0.0858951207338501
a,instance_0012.txt,2.4956326846520787,2.4583333333333335,2.410958904109589,1.9555555555555555,2.933333333333333,0.04455706881496303,0.21108545382134467,176.46666666666667,176.0,176,176,177,0.24888888888888897,0.4988876515698589,71.23333333333333,72.0,72,60,90,38.845555555555556,6.23262028007126,0.02265835266692496,0.02287137100029213,0.022666852000838844,0.019557001998691703,0.027283348999844748,2.7709046644766055e-06,0.0016646034556243735
a,instance_0013.txt,12.660121317675202,12.642782673546108,12.62534435261708,12.420054200542005,12.873595505617978,0.013501601802578833,0.11619639324255651,4583.0,4583.0,4583,4583,4583,0.0,0.0,362.03333333333336,362.5,363,356,369,11.032222222222225,3.321478920936008,0.5967226442335232,0.5715255995000916,0.8645393380011228,0.4382506479996664,1.0661257580013626,0.016516120071913047,0.12851505776333388
a,instance_0014.txt,20.46367734195385,20.473544973544975,20.473544973544975,20.20626631853786,20.74798927613941,0.01966340407993107,0.14022626030787197,7739.0,7739.0,7739,7739,7739,0.0,0.0,378.2,378.0,378,373,383,6.693333333333332,2.587147721590967,0.6463654371998928,0.5846683839990874,0.9710131419997197,0.5444472910003242,1.0208826580001187,0.016825238462797053,0.12971213691400296
a,instance_0015.txt,10.69608975565585,10.694767441860465,10.632947976878613,10.422096317280452,10.982089552238806,0.014175704157406857,0.11906176614432887,3679.0,3679.0,3679,3679,3679,0.0,0.0,344.0,344.0,346,335,353,14.6,3.82099463490856,0.5820389817333004,0.5881295059998592,0.9270815939999011,0.40588841999851866,0.9270815939999011,0.011733350162081936,0.10832058974212583
a,instance_0016.txt,9.552616062908365,9.527777777777779,9.527777777777779,9.27027027027027,9.8,0.02616868067355517,0.16176736591029467,686.0,686.0,686,686,686,0.0,0.0,71.83333333333333,72.0,72,70,74,1.472222222222222,1.2133516482134197,0.024962249033220966,0.026500529998884303,0.026239093000185676,0.01208853499883844,0.029036497999186395,1.1235848696748363e-05,0.0033519917506981372
a,instance_0017.txt,3.787593584753363,3.8043478260869565,3.8043478260869565,3.4313725490196076,4.166666666666667,0.029953720706737966,0.17307143238194445,175.0,175.0,175,175,175,0.0,0.0,46.3,46.0,46,42,51,4.476666666666668,2.115813476341114,0.007107230300243827,0.00710132650056039,0.00715716300146596,0.006614886999159353,0.007648243001312949,6.263856032050567e-08,0.0002502769672193302
a,instance_0018.txt,15.003159761956631,15.0625,15.0625,14.695121951219512,15.448717948717949,0.047543827920193286,0.21804547213871076,1205.0,1205.0,1205,1205,1205,0.0,0.0,80.33333333333333,80.0,80,78,82,1.3555555555555554,1.164283279771532,0.035596368166807224,0.03258760200060351,0.03255500100021891,0.031566592000672244,0.07474106500012567,7.490567862679366e-05,0.008654806677609482
a,instance_0019.txt,9.58342269276025,9.560027472527473,9.514285714285714,9.081818181818182,10.193877551020408,0.08051761794066065,0.28375626502451123,999.0,999.0,999,999,999,0.0,0.0,104.33333333333333,104.5,105,98,110,9.42222222222222,3.069563848859023,0.07846848776674355,0.07277786049962742,0.09696615599932557,0.0649329799998668,0.14677553399997123,0.00023970960258501444,0.015482558011679286
a,instance_0020.txt,4.1000000000000005,4.0,5.0,3.0,5.0,0.5122222222222222,0.7156970184527963,11.133333333333333,11.0,12,10,12,0.782222222222222,0.8844332774281065,2.8333333333333335,3.0,3,2,4,0.4722222222222224,0.6871842709362769,3.78565667536653e-05,3.727900002559181e-05,5.3849998948862776e-05,3.1798999771126546e-05,5.3849998948862776e-05,2.1696926884656762e-11,4.657996015955441e-06
