dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.00013088769992464222,0.00011610999990807613,0.00023273600072570844,8.306899962917669e-05,0.00023273600072570844,1.650996814618969e-09,4.063246011034735e-05
a,instance_0002.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.00031778766663895415,0.00031304250023822533,0.000437521999629098,0.00030135699944366934,0.000437521999629098,5.5443210358743e-10,2.3546381963848074e-05
a,instance_0003.txt,8.5,8.5,8.5,8.5,8.5,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.00033401319994178874,0.0003106759995716857,0.0004294659993320238,0.0003011659991898341,0.0008644819999972242,1.0205824915252416e-08,0.00010102388289534517
a,instance_0004.txt,3.0,3.0,3.0,3.0,3.0,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.0001681895332694694,0.00015807599993422627,0.0003731859997060383,0.00015132800035644323,0.0003731859997060383,1.581982536724874e-09,3.977414407281285e-05
a,instance_0005.txt,167.5,167.5,167.5,167.5,167.5,0.0,0.0,1340.0,1340.0,1340,1340,1340,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.008225537166739134,0.008348539500275365,0.009187505999761925,0.005141685000126017,0.015506345000176225,2.9807587169345785e-06,0.0017264873926370208
a,instance_0006.txt,211.6666666666667,211.66666666666666,211.66666666666666,211.66666666666666,211.66666666666666,3.2311742677852644e-27,5.684341886080802e-14,635.0,635.0,635,635,635,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.006659358166749977,0.007521851000092283,0.007464297000296938,0.0036977560002924292,0.007992324000042572,2.1202684584040406e-06,0.0014561141639322242
a,instance_0007.txt,196.42857142857144,196.42857142857142,196.42857142857142,196.42857142857142,196.42857142857142,8.077935669463161e-28,2.842170943040401e-14,1375.0,1375.0,1375,1375,1375,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,0.010772477299966946,0.008829376999528904,0.008830611999655957,0.007857587000216881,0.020538654000120005,1.4082748009267484e-05,0.0037526987634591033
a,instance_0008.txt,118.63636363636361,118.63636363636364,118.63636363636364,118.63636363636364,118.63636363636364,8.077935669463161e-28,2.842170943040401e-14,1305.0,1305.0,1305,1305,1305,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,0.011577153599864687,0.012502103499627992,0.008221006999519886,0.00718619100007345,0.012919815999339335,2.7037085569892826e-06,0.001644295763234
a,instance_0009.txt,3.388888888888888,3.388888888888889,3.388888888888889,3.388888888888889,3.388888888888889,7.888609052210118e-31,8.881784197001252e-16,61.0,61.0,61,61,61,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,0.004647155400016345,0.0047563960001753,0.005940652000390401,0.0026206729999103118,0.008653257000332815,2.1973485568765597e-06,0.0014823456266595048
a,instance_0010.txt,9.72093023255814,9.720930232558139,9.720930232558139,9.720930232558139,9.720930232558139,3.1554436208840472e-30,1.7763568394002505e-15,418.0,418.0,418,418,418,0.0,0.0,43.0,43.0,43,43,43,0.0,0.0,0.03296178023329048,0.03509561849978127,0.036939906000043266,0.0195634230003634,0.03919304899955023,2.8749887899401384e-05,0.005361892193936893
a,instance_0011.txt,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,9.166666666666666,0.0,0.0,330.0,330.0,330,330,330,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,0.02220021433331567,0.02266535649960133,0.020597728999746323,0.013490561000253365,0.02704400800030271,8.883054477619777e-06,0.0029804453488731807
a,instance_0012.txt,3.799999999999999,3.8,3.8,3.8,3.8,7.888609052210118e-31,8.881784197001252e-16,38.0,38.0,38,38,38,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,0.0009344885333121056,0.0009341280001535779,0.0009680160001153126,0.0008979759995781933,0.0010107010002684547,7.466039670168952e-10,2.7324054732357994e-05
a,instance_0013.txt,75.52380952380955,75.52380952380952,75.52380952380952,75.52380952380952,75.52380952380952,8.077935669463161e-28,2.842170943040401e-14,1586.0,1586.0,1586,1586,1586,0.0,0.0,21.0,21.0,21,21,21,0.0,0.0,0.03198470083337573,0.027554685000268364,0.0533637769995039,0.02542614499998308,0.06193981100022938,9.358841868672538e-05,0.009674110743976698
a,instance_0014.txt,109.66666666666664,109.66666666666667,109.66666666666667,109.66666666666667,109.66666666666667,8.077935669463161e-28,2.842170943040401e-14,1974.0,1974.0,1974,1974,1974,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,0.03431303203330269,0.031130713499806006,0.04861479700048221,0.030044291999729467,0.05220195799938665,5.409817405549023e-05,0.007355146093415836
a,instance_0015.txt,99.0,99.0,99.0,99.0,99.0,0.0,0.0,396.0,396.0,396,396,396,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.005935330633262007,0.005907168500016269,0.005829324999467644,0.005694759000107297,0.006381621999935305,2.3300785364690713e-08,0.00015264594775063868
a,instance_0016.txt,75.5,75.5,75.5,75.5,75.5,0.0,0.0,151.0,151.0,151,151,151,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.000607943666667173,0.0006033119998392067,0.0006002099999022903,0.0005775910003649187,0.0006579969995073043,3.401957614649439e-10,1.844439647873966e-05
a,instance_0017.txt,12.83333333333333,12.833333333333334,12.833333333333334,12.833333333333334,12.833333333333334,1.262177448353619e-29,3.552713678800501e-15,77.0,77.0,77,77,77,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,0.00047357126662366986,0.00044173200012664893,0.0004911760006507393,0.00039120400015235646,0.0006586549998246483,5.878221134409378e-09,7.666955806843664e-05
a,instance_0018.txt,83.85714285714283,83.85714285714286,83.85714285714286,83.85714285714286,83.85714285714286,8.077935669463161e-28,2.842170943040401e-14,587.0,587.0,587,587,587,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,0.006076156333347171,0.006029575999946246,0.0031826300000830088,0.0031826300000830088,0.008632306999970751,1.206146429569447e-06,0.0010982469802232316
a,instance_0019.txt,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0006524220333631092,0.0006534475000989914,0.0006539160003740108,0.0006125620002421783,0.0007049469995763502,4.936551486810365e-10,2.2218351619349183e-05
a,instance_0020.txt,3.0,3.0,3.0,3.0,3.0,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.857230005650005e-05,1.835899956859066e-05,1.8587000340630766e-05,1.7174000277009327e-05,2.78369998341077e-05,3.3525936383204832e-12,1.8310089126818809e-06
