dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,2.8828541925910347,2.7916666666666665,2.7916666666666665,2.392857142857143,3.5789473684210527,0.1135489118308692,0.3369701942766885,67.53333333333333,68.0,68,67,68,0.24888888888888897,0.4988876515698589,23.733333333333334,24.0,24,19,28,7.062222222222224,2.6574841903993,0.0015729118333316213,0.0016192129999978988,0.0016754009999999653,0.001178282000012132,0.0019847160000381336,4.1348990951267537e-08,0.00020334451296080634
a,instance_0002.txt,1.4,1.0,1.0,1.0,2.0,0.24000000000000005,0.48989794855663565,2.0,2.0,2,2,2,0.0,0.0,1.6,2.0,2,1,2,0.24000000000000005,0.48989794855663565,5.610496666577092e-05,4.956649999598994e-05,5.513500002507499e-05,3.967800000737043e-05,0.00024202099996273319,1.2540427169664636e-09,3.541246555898733e-05
a,instance_0003.txt,2.9135086243910515,2.864864864864865,2.65,2.3555555555555556,3.925925925925926,0.1189714507757129,0.3449223836977138,106.0,106.0,106,106,106,0.0,0.0,36.86666666666667,37.0,40,27,45,17.115555555555556,4.137095062426721,0.0029825540666668835,0.0029649824999751218,0.002986816000031922,0.0023217519999434444,0.0038574899999730405,8.364736289133482e-08,0.0002892185382912631
a,instance_0004.txt,1.732075773902624,1.6956521739130435,1.6666666666666667,1.4444444444444444,2.1666666666666665,0.03238979976420855,0.17997166378129795,39.43333333333333,39.0,39,38,40,0.31222222222222223,0.5587684871413403,23.0,23.0,25,18,27,5.2,2.280350850198276,0.0009184895333362419,0.0009282615000074657,0.0007297170000128972,0.0007297170000128972,0.0010816040000349858,7.205650034625036e-09,8.488610036174966e-05
a,instance_0005.txt,32.03801420056233,32.07664233576642,32.30882352941177,31.170212765957448,33.045112781954884,0.253254531379823,0.5032440077932603,4394.533333333334,4395.0,4395,4394,4395,0.24888888888888897,0.4988876515698589,137.2,137.0,136,133,141,4.626666666666666,2.1509687739868903,0.141719849266669,0.14666254950000734,0.15088605999994797,0.09414424200002713,0.1514412219999599,0.00018331229057747642,0.013539286930170157
a,instance_0006.txt,26.876486050563447,26.934578544061303,26.841379310344827,25.774834437086092,27.602836879432623,0.27764065014172784,0.5269161699376171,3892.0,3892.0,3892,3892,3892,0.0,0.0,144.86666666666667,144.5,145,141,151,8.182222222222224,2.860458393723325,0.1793659259333386,0.1785708369999952,0.1723892820000401,0.1723892820000401,0.18740840200001685,1.632119263095791e-05,0.004039949582724753
a,instance_0007.txt,26.43130761004254,26.34931506849315,26.34931506849315,25.818791946308725,27.091549295774648,0.09407483811130878,0.3067162175551022,3847.0,3847.0,3847,3847,3847,0.0,0.0,145.56666666666666,146.0,146,142,149,2.845555555555556,1.6868774571839995,0.18009402153332796,0.18063960300000304,0.1751988679999954,0.16739693900001384,0.18487796299996262,1.3818306405763301e-05,0.0037172982669895216
a,instance_0008.txt,21.153313984348475,21.111802100608074,21.02962962962963,20.424460431654676,21.838461538461537,0.10288775480524877,0.32076121150358683,2839.5333333333333,2840.0,2840,2839,2840,0.24888888888888897,0.4988876515698589,134.26666666666668,134.5,136,130,139,4.12888888888889,2.0319667538837565,0.12421440116666531,0.1243627879999849,0.10367335500001218,0.09987582000002249,0.15686701199996378,0.0002747540167709974,0.016575705619098012
a,instance_0009.txt,2.0885092416768436,2.081728989263236,2.095890410958904,1.8214285714285714,2.4126984126984126,0.024147620476837828,0.1553950465003239,152.6,153.0,153,152,153,0.23999999999999996,0.4898979485566356,73.46666666666667,73.5,73,63,84,29.182222222222226,5.402057221302106,0.01714526396666353,0.016940122000022484,0.01724530900003174,0.013613101000032657,0.01935787499996877,1.6006765644713636e-06,0.001265178471391038
a,instance_0010.txt,5.617134824101161,5.614147909967846,5.614147909967846,5.490566037735849,5.8006644518272426,0.005054625496802481,0.07109588945081481,1745.9,1746.0,1746,1745,1746,0.09000000000000004,0.30000000000000004,310.8666666666667,311.0,307,301,318,15.515555555555556,3.938978999125986,0.27388940523333266,0.2722317555000018,0.3229211139999961,0.22148649700000078,0.3305067979999876,0.002201973369996366,0.046925189077896806
a,instance_0011.txt,6.505629056620445,6.521545145601433,6.55448717948718,6.3312693498452015,6.6797385620915035,0.006242551728770725,0.0790098204577806,2044.6333333333334,2045.0,2045,2044,2045,0.23222222222222227,0.48189440982669873,314.3333333333333,313.5,312,306,323,14.688888888888888,3.832608627147949,0.2539628619666644,0.25390930250000565,0.24361733299997468,0.24361733299997468,0.26585777299999336,2.8298923106173876e-05,0.005319673214227908
a,instance_0012.txt,2.1598711756953053,2.1455333529238905,2.2564102564102564,1.923913043478261,2.5142857142857142,0.015963931521053333,0.12634845278456452,176.6,177.0,177,176,177,0.23999999999999996,0.4898979485566356,82.03333333333333,82.5,78,70,92,21.365555555555552,4.622288995244191,0.01452726530000253,0.014318570000000364,0.013094009999974787,0.011787986999991062,0.017096356999957152,1.7311553494887888e-06,0.001315733768468678
a,instance_0013.txt,12.466928847548049,12.453804347826088,12.453804347826088,12.28686327077748,12.62534435261708,0.008763264837608255,0.09361231135704456,4583.0,4583.0,4583,4583,4583,0.0,0.0,367.6333333333333,368.0,368,363,373,7.632222222222223,2.762647683332463,0.7018874789333381,0.6706964775000017,0.676522613999964,0.6451107740000452,0.9047834689999945,0.004912045629096792,0.07008598739474813
a,instance_0014.txt,20.306715487114936,20.285749130835086,20.20626631853786,19.997416020671835,20.692513368983956,0.0302934044613649,0.17405000563448683,7739.0,7739.0,7739,7739,7739,0.0,0.0,381.1333333333333,381.5,383,374,387,10.582222222222223,3.2530327730015607,0.838594514466674,0.674140404999946,1.1483216159999756,0.6076256110000031,1.5708091369999693,0.07990481159174774,0.2826743914679003
a,instance_0015.txt,10.40127708354215,10.392655367231638,10.451704545454545,10.24791086350975,10.602305475504323,0.008192777709189532,0.0905139641668043,3679.0,3679.0,3679,3679,3679,0.0,0.0,353.73333333333335,354.0,352,347,359,9.462222222222227,3.0760725320158215,0.2753089301000121,0.27541730649994633,0.2691461590000017,0.2646297940000295,0.2852870310000526,2.1399437727386188e-05,0.004625952629176631
a,instance_0016.txt,9.364092967018827,9.333765272121436,9.27027027027027,9.026315789473685,9.8,0.05005166281371987,0.22372228948792713,686.0,686.0,686,686,686,0.0,0.0,73.3,73.5,74,70,76,3.010000000000001,1.7349351572897476,0.01453037126665701,0.014559020499973485,0.01437012299993512,0.014184818999979143,0.014841874000012467,3.160998520471932e-08,0.000177791971710534
a,instance_0017.txt,3.5157116993696516,3.5,3.5714285714285716,3.30188679245283,3.977272727272727,0.022999004476128737,0.15165422670050688,175.0,175.0,175,175,175,0.0,0.0,49.86666666666667,50.0,49,44,53,4.3822222222222225,2.0933757957476775,0.0036482818999843403,0.0036457914999914465,0.0035959939999656854,0.00353330499990534,0.003765642000075786,5.050999227625276e-09,7.107038221105383e-05
a,instance_0018.txt,14.938741644336677,15.0625,15.253164556962025,14.345238095238095,15.64935064935065,0.10291728226387852,0.3208072353670947,1205.0,1205.0,1205,1205,1205,0.0,0.0,80.7,80.0,79,77,84,3.0100000000000007,1.7349351572897473,0.024689811299996714,0.025069968500019968,0.022744657999965057,0.021332511999958115,0.026294700999983434,1.4289528297483823e-06,0.0011953881502459285
a,instance_0019.txt,9.350545620728353,9.293224299065422,9.424528301886792,8.919642857142858,9.99,0.07843266962313987,0.2800583325365269,999.0,999.0,999,999,999,0.0,0.0,106.93333333333334,107.5,106,100,112,9.995555555555557,3.161574853701167,0.030230763766667224,0.03021792300000925,0.03005950399995072,0.029187035999939326,0.03153232099998604,4.336125145934317e-07,0.0006584926078502565
a,instance_0020.txt,3.644444444444445,3.833333333333333,4.0,3.0,4.0,0.17728395061728394,0.42105100714436483,11.733333333333333,12.0,12,10,12,0.26222222222222225,0.5120763831912406,3.2666666666666666,3.0,3,3,4,0.19555555555555554,0.4422166387140533,2.5776433335522598e-05,2.4309500020081032e-05,5.6962000030580384e-05,2.197599997089128e-05,5.6962000030580384e-05,3.8398532363296514e-11,6.196654933373046e-06
