dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,0.0,0.0,32.0,32.0,32,32,32,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,0.0010186640333396705,0.0008966565000321225,0.0014068449999626864,0.0008807580000507187,0.0038009230000284333,2.7743517129858603e-07,0.0005267211513681466
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,3.198493333798069e-05,3.135299996870344e-05,4.014500001403576e-05,2.9880999989018164e-05,4.014500001403576e-05,3.98008254380274e-12,1.9950144219535707e-06
a,instance_0003.txt,3.400000000000001,3.4,3.4,3.4,3.4,7.888609052210118e-31,8.881784197001252e-16,34.0,34.0,34,34,34,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,0.0017558967666692145,0.001740562999998474,0.001871483000002172,0.0016994319999525942,0.0018965200000025106,2.1435334360370815e-09,4.62983092135888e-05
a,instance_0004.txt,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.0004350403333319264,0.0004340380000087407,0.0004604840000297372,0.00041773499998498664,0.0004604840000297372,1.16073941399732e-10,1.0773761710736505e-05
a,instance_0005.txt,22.931034482758616,22.93103448275862,22.93103448275862,22.93103448275862,22.93103448275862,1.262177448353619e-29,3.552713678800501e-15,1330.0,1330.0,1330,1330,1330,0.0,0.0,58.0,58.0,58,58,58,0.0,0.0,0.25165196446666677,0.2501499954999815,0.26184120300001723,0.2451526869999725,0.2812101490000032,4.3703652961457796e-05,0.006610873842500535
a,instance_0006.txt,24.105263157894726,24.105263157894736,24.105263157894736,24.105263157894736,24.105263157894736,1.135959703518257e-28,1.0658141036401503e-14,458.0,458.0,458,458,458,0.0,0.0,19.0,19.0,19,19,19,0.0,0.0,0.25847271893332885,0.2614113949999819,0.22800571400000536,0.22800571400000536,0.2860457360000055,0.00023343976319507316,0.015278735654335837
a,instance_0007.txt,20.12307692307693,20.123076923076923,20.123076923076923,20.123076923076923,20.123076923076923,5.048709793414476e-29,7.105427357601002e-15,1308.0,1308.0,1308,1308,1308,0.0,0.0,65.0,65.0,65,65,65,0.0,0.0,1.4305536063666655,1.4325508924999895,1.3800756350000256,1.3753891100000146,1.527538772000014,0.0012514054292623552,0.0353752092469056
a,instance_0008.txt,28.39130434782609,28.391304347826086,28.391304347826086,28.391304347826086,28.391304347826086,1.262177448353619e-29,3.552713678800501e-15,1306.0,1306.0,1306,1306,1306,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.26676764026666244,0.26527124049999884,0.2219682040000066,0.2219682040000066,0.30069435600000816,0.0007869113536748007,0.0280519402836025
a,instance_0009.txt,2.863636363636363,2.8636363636363638,2.8636363636363638,2.8636363636363638,2.8636363636363638,7.888609052210118e-31,8.881784197001252e-16,63.0,63.0,63,63,63,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,0.008024395866668026,0.00798770549999972,0.007971774000054666,0.007913196999993488,0.008290239000018573,8.31924857864682e-09,9.120991491415185e-05
a,instance_0010.txt,3.897196261682242,3.897196261682243,3.897196261682243,3.897196261682243,3.897196261682243,7.888609052210118e-31,8.881784197001252e-16,417.0,417.0,417,417,417,0.0,0.0,107.0,107.0,107,107,107,0.0,0.0,0.3211042840333315,0.27829437249997113,0.39136870400000134,0.2746044159999883,0.39592155599996204,0.002915536500202432,0.05399570816465353
a,instance_0011.txt,5.387096774193546,5.387096774193548,5.387096774193548,5.387096774193548,5.387096774193548,3.1554436208840472e-30,1.7763568394002505e-15,334.0,334.0,334,334,334,0.0,0.0,62.0,62.0,62,62,62,0.0,0.0,0.14003195156666948,0.1398803764999741,0.14129056400003037,0.13924554800001943,0.14129056400003037,3.282039503403426e-07,0.0005728908712314612
a,instance_0012.txt,3.0,3.0,3.0,3.0,3.0,0.0,0.0,39.0,39.0,39,39,39,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,0.005393748533337354,0.005381499000009171,0.0054310770000256525,0.005307543000014903,0.0055113239999968755,2.908486177256948e-09,5.3930382691549186e-05
a,instance_0013.txt,7.5550000000000015,7.555,7.555,7.555,7.555,3.1554436208840472e-30,1.7763568394002505e-15,1511.0,1511.0,1511,1511,1511,0.0,0.0,200.0,200.0,200,200,200,0.0,0.0,2.3201360733666716,2.2352109870000163,2.3239883609999765,2.1296787179999797,2.8652906140000027,0.041100976528070626,0.2027337577417008
