dataset,instance,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,instance_0001.txt,5.75,5.75,6.0,5.5,6.0,0.0625,0.25,31.5,31.5,30,30,33,2.25,1.5,5.5,5.5,5,5,6,0.25,0.5,1.703176061500045,1.703176061500045,1.6943096870000431,1.6943096870000431,1.712042436000047,7.861259677428464e-05,0.008866374500001939
a,instance_0002.txt,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.19633861349998938,0.19633861349998938,0.20892394099996636,0.1837532860000124,0.20892394099996636,0.00015839046828167692,0.012585327499976984
a,instance_0003.txt,5.988235294117647,5.988235294117647,5.176470588235294,5.176470588235294,6.8,0.6589619377162627,0.8117647058823527,61.0,61.0,88,34,88,729.0,27.0,11.0,11.0,17,5,17,36.0,6.0,1.8389547749999906,1.8389547749999906,1.7955057289999559,1.7955057289999559,1.8824038210000253,0.001887819598313135,0.04344904600003474
a,instance_0004.txt,3.15,3.15,3.5,2.8,3.5,0.12250000000000007,0.3500000000000001,10.5,10.5,7,7,14,12.25,3.5,3.5,3.5,2,2,5,2.25,1.5,1.607957115000005,1.607957115000005,1.631297974000006,1.5846162560000039,1.631297974000006,0.0005447956988579298,0.023340859000001046
a,instance_0009.txt,2.988927485887972,2.988927485887972,3.020408163265306,2.9574468085106385,3.020408163265306,0.000991033048135772,0.03148067737733373,143.5,143.5,148,139,148,20.25,4.5,48.0,48.0,49,47,49,1.0,1.0,2.4098114039999814,2.4098114039999814,2.3381542249999825,2.3381542249999825,2.4814685829999803,0.005134751302237884,0.0716571789999989
a,instance_0012.txt,3.6915760869565215,3.6915760869565215,3.6875,3.6875,3.6956521739130435,1.6614484877126576e-05,0.0040760869565217295,173.5,173.5,177,170,177,12.25,3.5,47.0,47.0,48,46,48,1.0,1.0,2.1450277884999878,2.1450277884999878,2.123417187999962,2.123417187999962,2.1666383890000134,0.00046701805397170724,0.021610600500025612
a,instance_0016.txt,10.09041747782825,10.09041747782825,10.238805970149254,9.942028985507246,10.238805970149254,0.022019144653300706,0.14838849232100415,686.0,686.0,686,686,686,0.0,0.0,68.0,68.0,67,67,69,1.0,1.0,2.61653105649998,2.61653105649998,2.6129433649999783,2.6129433649999783,2.6201187479999817,1.2871530299184525e-05,0.0035876915000017107
a,instance_0017.txt,4.377736085053158,4.377736085053158,4.2682926829268295,4.2682926829268295,4.487179487179487,0.011977858268985325,0.10944340212632886,175.0,175.0,175,175,175,0.0,0.0,40.0,40.0,41,39,41,1.0,1.0,1.8400162334999948,1.8400162334999948,1.8387283929999967,1.8387283929999967,1.8413040739999929,1.6585331534353124e-06,0.001287840499998083
a,instance_0018.txt,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,16.066666666666666,0.0,0.0,1205.0,1205.0,1205,1205,1205,0.0,0.0,75.0,75.0,75,75,75,0.0,0.0,3.0839430070000162,3.0839430070000162,3.0820484440000087,3.0820484440000087,3.085837570000024,3.589368960997666e-06,0.0018945630000075653
a,instance_0019.txt,10.40625,10.40625,10.40625,10.40625,10.40625,0.0,0.0,999.0,999.0,999,999,999,0.0,0.0,96.0,96.0,96,96,96,0.0,0.0,3.6206417500000043,3.6206417500000043,3.708810502999995,3.5324729970000135,3.708810502999995,0.007773729005573392,0.08816875299999083
a,instance_0020.txt,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.14660489200002758,0.14660489200002758,0.1472606440000277,0.14594914000002746,0.1472606440000277,4.30010685504158e-07,0.0006557520000001205
