algorithm,instance,instance_path,run_id,seed,objective,time_s,feasible,timed_out,total_items,num_aisles,num_orders,params
simple,instance_0002.txt,datasets/a/instance_0002.txt,0,42,1.0,0.000284,True,False,2,2,2,{'greedy': 'simple'}
simple,instance_0004.txt,datasets/a/instance_0004.txt,0,42,1.7391304347826086,0.0015,True,False,40,23,9,{'greedy': 'simple'}
simple,instance_0001.txt,datasets/a/instance_0001.txt,0,42,2.72,0.002342,True,False,68,25,22,{'greedy': 'simple'}
simple,instance_0003.txt,datasets/a/instance_0003.txt,0,42,2.789473684210526,0.005766,True,False,106,38,27,{'greedy': 'simple'}
simple,instance_0009.txt,datasets/a/instance_0009.txt,0,42,1.9125,0.013214,True,False,153,80,45,{'greedy': 'simple'}
simple,instance_0012.txt,datasets/a/instance_0012.txt,0,42,2.046511627906977,0.022786,True,False,176,86,55,{'greedy': 'simple'}
simple,instance_0017.txt,datasets/a/instance_0017.txt,0,42,3.5714285714285716,0.007102,True,False,175,49,175,{'greedy': 'simple'}
simple,instance_0016.txt,datasets/a/instance_0016.txt,0,42,9.27027027027027,0.069415,True,False,686,74,686,{'greedy': 'simple'}
simple,instance_0018.txt,datasets/a/instance_0018.txt,0,42,14.345238095238095,0.04199,True,False,1205,84,1061,{'greedy': 'simple'}
simple,instance_0020.txt,datasets/a/instance_0020.txt,0,42,3.6666666666666665,0.000135,True,False,11,3,4,{'greedy': 'simple'}
simple_multi,instance_0001.txt,datasets/a/instance_0001.txt,0,42,3.7777777777777777,0.003265,True,False,68,18,17,{'greedy': 'multi'}
simple_multi,instance_0002.txt,datasets/a/instance_0002.txt,0,42,2.0,0.000172,True,False,2,1,1,{'greedy': 'multi'}
simple_multi,instance_0003.txt,datasets/a/instance_0003.txt,0,42,3.7857142857142856,0.006792,True,False,106,28,25,{'greedy': 'multi'}
simple_multi,instance_0004.txt,datasets/a/instance_0004.txt,0,42,2.2222222222222223,0.001454,True,False,40,18,10,{'greedy': 'multi'}
