dataset,algorithm,instance,total_runs,feasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,aisle_first,instance_0001.txt,10,10,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.0032164999999999997,0.0030629999999999998,0.002881,0.002755,0.004062,1.8409964999999996e-07,0.0004290683511982677
a,aisle_first,instance_0002.txt,10,10,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0009429,0.000699,0.000703,0.000613,0.00199,2.5855268999999996e-07,0.0005084807665979117
a,aisle_first,instance_0003.txt,10,10,0,8.25,8.25,8.25,8.25,8.25,0.0,0.0,33.0,33.0,33,33,33,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.0033025,0.0030945,0.003003,0.002796,0.004275,2.3689245000000007e-07,0.0004867159849439918
a,aisle_first,instance_0006.txt,10,10,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.3373423,0.33734850000000005,0.288888,0.288888,0.386154,0.0010108201508100003,0.03179339791230249
a,aisle_first,instance_0007.txt,10,10,0,284.80000000000007,284.8,284.8,284.8,284.8,3.2311742677852644e-27,5.684341886080802e-14,1424.0,1424.0,1424,1424,1424,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.22631929999999997,0.2294785,0.246867,0.19276,0.25616,0.00042207926841000024,0.0205445678564919
a,aisle_first,instance_0015.txt,10,10,0,129.66666666666669,129.66666666666666,129.66666666666666,129.66666666666666,129.66666666666666,8.077935669463161e-28,2.842170943040401e-14,389.0,389.0,389,389,389,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.1905119,0.192286,0.197333,0.164383,0.217216,0.00021029074668999997,0.014501404990206983
a,aisle_first,instance_0016.txt,10,10,0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,150.0,150.0,150,150,150,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.0394783,0.0380215,0.029947,0.028906,0.056664,6.961080861e-05,0.008343309212177144
a,aisle_first,instance_0017.txt,10,10,0,31.5,31.5,31.5,31.5,31.5,0.0,0.0,63.0,63.0,63,63,63,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.015074300000000002,0.013432,0.012923,0.011921,0.023058,1.1227036809999997e-05,0.00335067706739996
a,aisle_first,instance_0019.txt,10,10,0,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0687992,0.065948,0.060911,0.060911,0.085222,4.608653556000002e-05,0.006788706471780911
a,aisle_first,instance_0020.txt,10,10,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.0008536,0.000897,0.000701,0.000673,0.00099,1.3632839999999999e-08,0.00011675975333992446
a,simple,instance_0001.txt,5,5,0,3.0593004249754823,3.1904761904761907,3.1904761904761907,2.4285714285714284,3.526315789473684,0.13729763573955195,0.3705369559700516,67.4,67.0,67,67,68,0.24,0.4898979485566356,22.4,21.0,21,19,28,9.440000000000001,3.0724582991474434,0.0023229999999999995,0.002354,0.002354,0.00185,0.00277,1.0560479999999997e-07,0.00032496892159097305
a,simple,instance_0002.txt,5,5,0,1.2,1.0,1.0,1.0,2.0,0.16,0.4,2.0,2.0,2,2,2,0.0,0.0,1.8,2.0,2,1,2,0.16,0.4,0.00024099999999999998,0.000243,0.000243,0.000226,0.000249,6.119999999999998e-11,7.823042886243177e-06
a,simple,instance_0003.txt,5,5,0,2.789110910848977,2.789473684210526,3.0285714285714285,2.4651162790697674,3.0285714285714285,0.038301311386357985,0.19570720831476285,106.0,106.0,106,106,106,0.0,0.0,38.2,38.0,35,35,43,7.76,2.7856776554368237,0.005523200000000001,0.005793,0.006962,0.004073,0.006962,1.08389056e-06,0.001041100648352502
a,simple,instance_0004.txt,5,5,0,1.6811084567606305,1.6666666666666667,1.9047619047619047,1.5384615384615385,1.9047619047619047,0.015473534974181,0.12439266447094459,39.8,40.0,40,39,40,0.16,0.4,23.8,24.0,21,21,26,2.96,1.7204650534085253,0.001898,0.001467,0.001467,0.001147,0.003813,9.408512e-07,0.0009699748450346534
a,simple,instance_0005.txt,5,5,0,32.23446557291994,32.07299270072993,33.54961832061068,31.385714285714286,33.54961832061068,0.5264491497297745,0.725568156502044,4394.6,4395.0,4395,4394,4395,0.24000000000000005,0.48989794855663565,136.4,137.0,131,131,140,9.04,3.0066592756745814,0.1980602,0.19716,0.179798,0.179798,0.214071,0.00014818949376,0.012173310714838424
a,simple,instance_0006.txt,5,5,0,27.076406936709663,27.02777777777778,27.02777777777778,26.120805369127517,27.602836879432623,0.29443218307057945,0.5426160549325642,3892.0,3892.0,3892,3892,3892,0.0,0.0,143.8,144.0,144,141,149,8.559999999999999,2.9257477676655586,0.229969,0.248329,0.248329,0.18754,0.264539,0.0010587505108000004,0.03253844665622501
a,simple,instance_0007.txt,5,5,0,26.607298338659472,26.53103448275862,26.34931506849315,26.34931506849315,27.091549295774648,0.07701709196551028,0.27751953438543797,3847.0,3847.0,3847,3847,3847,0.0,0.0,144.6,145.0,146,142,146,2.2399999999999998,1.4966629547095764,0.23827220000000002,0.239162,0.245072,0.215626,0.271874,0.0004073207689600001,0.020182189399567136
a,simple,instance_0008.txt,5,5,0,21.19679953106252,21.19402985074627,21.515151515151516,20.722627737226276,21.515151515151516,0.09061331744859567,0.30102046018268536,2839.8,2840.0,2840,2839,2840,0.15999999999999998,0.39999999999999997,134.0,134.0,132,132,137,3.6,1.8973665961010275,0.12856,0.13434,0.109036,0.109036,0.145726,0.00024337388320000005,0.015600444968012933
a,simple,instance_0009.txt,5,5,0,2.048184722763125,2.013157894736842,2.013157894736842,1.8658536585365855,2.3181818181818183,0.0232067963560246,0.15233777061525025,152.8,153.0,153,152,153,0.16,0.4,75.0,76.0,76,66,82,28.8,5.366563145999495,0.01743,0.017971,0.018236,0.013904,0.021221,6.069043600000001e-06,0.0024635428959123083
a,simple,instance_0010.txt,5,5,0,5.6182104610838,5.632258064516129,5.6688311688311686,5.542857142857143,5.6688311688311686,0.002519046005216366,0.050190098677093335,1746.0,1746.0,1746,1746,1746,0.0,0.0,310.8,310.0,308,308,315,7.76,2.7856776554368237,0.2576772,0.254479,0.254479,0.221423,0.294698,0.0008226210149600004,0.028681370520949663
