dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,gap_mean,gap_median,gap_mode,gap_min,gap_max,gap_variance,gap_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,simple_asc_exact,instance_0001.txt,5,5,0,0,2.4444444444444446,2.4444444444444446,2.4444444444444446,2.4444444444444446,2.4444444444444446,0.0,0.0,0.837037037037037,0.837037037037037,0.837037037037037,0.837037037037037,0.837037037037037,0.0,0.0,66.0,66.0,66,66,66,0.0,0.0,27.0,27.0,27,27,27,0.0,0.0,0.014105200000000002,0.014025,0.012467,0.012467,0.015805,1.6527737599999991e-06,0.001285602489107733
a,simple_asc_exact,instance_0002.txt,5,5,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.0044507999999999995,0.003972,0.003434,0.003434,0.005498,7.329285600000001e-07,0.0008561124692468858
a,simple_asc_exact,instance_0003.txt,5,5,0,0,2.9714285714285715,2.9714285714285715,2.9714285714285715,2.9714285714285715,2.9714285714285715,0.0,0.0,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.0,0.0,104.0,104.0,104,104,104,0.0,0.0,35.0,35.0,35,35,35,0.0,0.0,0.0255838,0.023967,0.019614,0.019614,0.037188,3.8602996959999995e-05,0.00621313101101208
a,simple_asc_exact,instance_0004.txt,5,5,0,0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,0.0,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,21.0,21.0,21,21,21,0.0,0.0,0.010821,0.008816,0.019631,0.008027,0.019631,1.9579226799999998e-05,0.004424842008478947
a,simple_asc_exact,instance_0005.txt,5,5,0,0,31.15602836879433,31.156028368794328,31.156028368794328,31.156028368794328,31.156028368794328,1.262177448353619e-29,3.552713678800501e-15,0.8248431293391747,0.8248431293391746,0.8248431293391746,0.8248431293391746,0.8248431293391746,1.232595164407831e-32,1.1102230246251565e-16,4393.0,4393.0,4393,4393,4393,0.0,0.0,141.0,141.0,141,141,141,0.0,0.0,0.5940808,0.594557,0.594557,0.579338,0.607793,8.725373976000011e-05,0.009340971028752853
a,simple_asc_exact,instance_0006.txt,5,5,0,0,26.841379310344827,26.841379310344827,26.841379310344827,26.841379310344827,26.841379310344827,0.0,0.0,0.9611557462947253,0.9611557462947253,0.9611557462947253,0.9611557462947253,0.9611557462947253,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,145.0,145.0,145,145,145,0.0,0.0,0.6865271999999999,0.676199,0.46613,0.46613,0.823599,0.016950583570559997,0.130194406832859
a,simple_asc_exact,instance_0007.txt,5,5,0,0,26.53103448275862,26.53103448275862,26.53103448275862,26.53103448275862,26.53103448275862,0.0,0.0,0.9323619261115141,0.932361926111514,0.932361926111514,0.932361926111514,0.932361926111514,1.232595164407831e-32,1.1102230246251565e-16,3847.0,3847.0,3847,3847,3847,0.0,0.0,145.0,145.0,145,145,145,0.0,0.0,0.5743806,0.622254,0.623954,0.387846,0.625939,0.008722253177439998,0.09339300389986392
a,simple_asc_exact,instance_0008.txt,5,5,0,0,20.41007194244604,20.41007194244604,20.41007194244604,20.41007194244604,20.41007194244604,0.0,0.0,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.8747396306781289,0.0,0.0,2837.0,2837.0,2837,2837,2837,0.0,0.0,139.0,139.0,139,139,139,0.0,0.0,0.4590662,0.439589,0.426344,0.307077,0.578894,0.00920525336776,0.09594401163053377
a,simple_asc_exact,instance_0009.txt,5,5,0,0,2.026666666666667,2.026666666666667,2.026666666666667,2.026666666666667,2.026666666666667,0.0,0.0,0.5411320754716981,0.5411320754716981,0.5411320754716981,0.5411320754716981,0.5411320754716981,0.0,0.0,152.0,152.0,152,152,152,0.0,0.0,75.0,75.0,75,75,75,0.0,0.0,0.06786040000000002,0.061086,0.061086,0.057018,0.086741,0.00012445425704000001,0.011155906822845018
a,simple_asc_exact,instance_0010.txt,5,5,0,0,5.7781456953642385,5.7781456953642385,5.7781456953642385,5.7781456953642385,5.7781456953642385,0.0,0.0,0.6623385342005395,0.6623385342005395,0.6623385342005395,0.6623385342005395,0.6623385342005395,0.0,0.0,1745.0,1745.0,1745,1745,1745,0.0,0.0,302.0,302.0,302,302,302,0.0,0.0,0.756192,0.830819,0.471169,0.471169,0.910268,0.024367041647199994,0.1560994607524318
a,simple_asc_exact,instance_0011.txt,5,5,0,0,6.829431438127091,6.829431438127091,6.829431438127091,6.829431438127091,6.829431438127091,0.0,0.0,0.5946924962535851,0.5946924962535851,0.5946924962535851,0.5946924962535851,0.5946924962535851,0.0,0.0,2042.0,2042.0,2042,2042,2042,0.0,0.0,299.0,299.0,299,299,299,0.0,0.0,0.7661146,0.741025,0.727385,0.662697,0.925213,0.007640640874239999,0.08741075948783421
a,simple_asc_exact,instance_0012.txt,5,5,0,0,2.0952380952380953,2.0952380952380953,2.0952380952380953,2.0952380952380953,2.0952380952380953,0.0,0.0,0.8137566137566138,0.8137566137566138,0.8137566137566138,0.8137566137566138,0.8137566137566138,0.0,0.0,176.0,176.0,176,176,176,0.0,0.0,84.0,84.0,84,84,84,0.0,0.0,0.0694602,0.068849,0.068716,0.0685,0.071337,1.1128613599999985e-06,0.0010549224426468508
a,simple_asc_exact,instance_0013.txt,5,5,0,0,12.453804347826088,12.453804347826088,12.453804347826088,12.453804347826088,12.453804347826088,0.0,0.0,0.8939059917944043,0.8939059917944042,0.8939059917944042,0.8939059917944042,0.8939059917944042,1.232595164407831e-32,1.1102230246251565e-16,4583.0,4583.0,4583,4583,4583,0.0,0.0,368.0,368.0,368,368,368,0.0,0.0,2.0690784,1.980049,1.959156,1.959156,2.42821,0.03255500023464,0.1804300424947021
a,simple_asc_exact,instance_0014.txt,5,5,0,0,20.52785145888594,20.52785145888594,20.52785145888594,20.52785145888594,20.52785145888594,0.0,0.0,0.8869838007769042,0.8869838007769042,0.8869838007769042,0.8869838007769042,0.8869838007769042,0.0,0.0,7739.0,7739.0,7739,7739,7739,0.0,0.0,377.0,377.0,377,377,377,0.0,0.0,3.5370565999999997,3.837745,2.001152,2.001152,4.290841,0.7023197229010402,0.8380451795106515
a,simple_asc_exact,instance_0015.txt,5,5,0,0,10.725947521865889,10.725947521865889,10.725947521865889,10.725947521865889,10.725947521865889,0.0,0.0,0.9281744585589337,0.9281744585589338,0.9281744585589338,0.9281744585589338,0.9281744585589338,1.232595164407831e-32,1.1102230246251565e-16,3679.0,3679.0,3679,3679,3679,0.0,0.0,343.0,343.0,343,343,343,0.0,0.0,1.6312647999999998,1.624037,1.581692,1.182105,2.097317,0.08461030941615998,0.29087851315654095
a,simple_asc_exact,instance_0016.txt,5,5,0,0,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,0.0,0.0,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.0,0.0,686.0,686.0,686,686,686,0.0,0.0,71.0,71.0,71,71,71,0.0,0.0,0.0736774,0.06877,0.094557,0.06674,0.094557,0.00011066185544000005,0.010519593881894874
a,simple_asc_exact,instance_0017.txt,5,5,0,0,3.804347826086956,3.8043478260869565,3.8043478260869565,3.8043478260869565,3.8043478260869565,1.9721522630525295e-31,4.440892098500626e-16,0.8957712924359738,0.8957712924359739,0.8957712924359739,0.8957712924359739,0.8957712924359739,1.232595164407831e-32,1.1102230246251565e-16,175.0,175.0,175,175,175,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.0199994,0.019793,0.019793,0.019491,0.020687,2.5127943999999983e-07,0.0005012778072087371
a,simple_asc_exact,instance_0018.txt,5,5,0,0,15.253164556962025,15.253164556962025,15.253164556962025,15.253164556962025,15.253164556962025,0.0,0.0,0.8698535447358189,0.869853544735819,0.869853544735819,0.869853544735819,0.869853544735819,1.232595164407831e-32,1.1102230246251565e-16,1205.0,1205.0,1205,1205,1205,0.0,0.0,79.0,79.0,79,79,79,0.0,0.0,0.11320920000000001,0.113844,0.110959,0.110959,0.114473,1.7967929600000061e-06,0.0013404450604183695
a,simple_asc_exact,instance_0019.txt,5,5,0,0,9.514285714285714,9.514285714285714,9.514285714285714,9.514285714285714,9.514285714285714,0.0,0.0,0.952899575671853,0.9528995756718529,0.9528995756718529,0.9528995756718529,0.9528995756718529,1.232595164407831e-32,1.1102230246251565e-16,999.0,999.0,999,999,999,0.0,0.0,105.0,105.0,105,105,105,0.0,0.0,0.1366746,0.149856,0.149856,0.102218,0.174999,0.0008265357126399997,0.028749534129095027
