instance,algorithm_left,algorithm_right,orders_jaccard,aisles_jaccard,items_jaccard,orders_overlap,aisles_overlap,items_overlap
instance_0001.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,9,2,18
instance_0001.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,9,2,18
instance_0001.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,9,2,18
instance_0001.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,9,2,18
instance_0001.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,9,2,18
instance_0001.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,9,2,18
instance_0002.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,1,1,1
instance_0002.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,1,1,1
instance_0002.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,1,1
instance_0002.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,1,1,1
instance_0002.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,1,1
instance_0002.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,1,1
instance_0003.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,16,9,41
instance_0003.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,16,9,41
instance_0003.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,16,9,41
instance_0003.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,16,9,41
instance_0003.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,16,9,41
instance_0003.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,16,9,41
instance_0004.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,1,2,3
instance_0004.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,1,2,3
instance_0004.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,2,3
instance_0004.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,1,2,3
instance_0004.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,2,3
instance_0004.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1,2,3
instance_0005.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.9752781211372065,1.0,0.9902200488997555,789,25,1620
instance_0005.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.9777227722772277,1.0,0.9938912645082468,790,25,1627
instance_0005.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9777227722772277,1.0,0.9938912645082468,790,25,1627
instance_0005.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.9851668726823238,1.0,0.9902379499694935,797,25,1623
instance_0005.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.9851668726823238,1.0,0.9902379499694935,797,25,1623
instance_0005.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,803,25,1635
instance_0006.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.8481481481481481,1.0,1.0,458,1,326
instance_0006.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.7899461400359067,1.0,1.0,440,1,326
instance_0006.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.7835420393559929,1.0,1.0,438,1,326
instance_0006.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.8571428571428571,1.0,1.0,462,1,326
instance_0006.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.8502772643253235,1.0,1.0,460,1,326
instance_0006.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9880715705765407,1.0,1.0,497,1,326
instance_0007.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.9337641357027464,1.0,1.0,1156,4,721
instance_0007.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.9015091342335186,1.0,1.0,1135,4,721
instance_0007.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9015091342335186,1.0,1.0,1135,4,721
instance_0007.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.9353796445880452,1.0,1.0,1158,4,721
instance_0007.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.9353796445880452,1.0,1.0,1158,4,721
instance_0007.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,1198,4,721
instance_0008.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.9955654101995566,1.0,1.0,449,19,1116
instance_0008.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.9911504424778761,1.0,0.9991039426523297,448,19,1115
instance_0008.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9911504424778761,1.0,0.9991039426523297,448,19,1115
instance_0008.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.9867549668874173,1.0,0.9991039426523297,447,19,1115
instance_0008.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.9867549668874173,1.0,0.9991039426523297,447,19,1115
instance_0008.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,450,19,1115
instance_0009.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,21,29,70
instance_0009.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,21,29,70
instance_0009.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,21,29,70
instance_0009.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,21,29,70
instance_0009.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,21,29,70
instance_0009.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,21,29,70
instance_0010.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.993421052631579,1.0,0.996958174904943,604,133,1311
instance_0010.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.9901477832512315,1.0,0.9962006079027356,603,133,1311
instance_0010.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9901477832512315,1.0,0.9962006079027356,603,133,1311
instance_0010.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.9967051070840197,1.0,0.9992389649923896,605,133,1313
instance_0010.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.9967051070840197,1.0,0.9992389649923896,605,133,1313
instance_0010.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,606,133,1314
instance_0011.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,0.9895287958115183,1.0,0.9956427015250545,189,62,457
instance_0011.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,0.9895287958115183,1.0,0.9956427015250545,189,62,457
instance_0011.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,0.9895287958115183,1.0,0.9956427015250545,189,62,457
instance_0011.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,0.9895287958115183,1.0,1.0,189,62,459
instance_0011.txt,af_useful_order-null_prune-multi,afe_useful_order-null_prune-multi,0.9895287958115183,1.0,1.0,189,62,459
instance_0011.txt,afe_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,190,62,459
instance_0012.txt,af_useful_order-desc_prune-multi,af_useful_order-null_prune-multi,1.0,1.0,1.0,8,4,14
instance_0012.txt,af_useful_order-desc_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,8,4,14
instance_0012.txt,af_useful_order-desc_prune-multi,afe_useful_order-null_prune-multi,1.0,1.0,1.0,8,4,14
instance_0012.txt,af_useful_order-null_prune-multi,afe_useful_order-desc_prune-multi,1.0,1.0,1.0,8,4,14
