dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,af_useful_order-desc_prune-multi,instance_0001.txt,1,1,0,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,30.0,30.0,30,30,30,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.000911,0.000911,0.000911,0.000911,0.000911,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000228,0.000228,0.000228,0.000228,0.000228,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0003.txt,1,1,0,0,6.888888888888889,6.888888888888889,6.888888888888889,6.888888888888889,6.888888888888889,0.0,0.0,62.0,62.0,62,62,62,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,0.003851,0.003851,0.003851,0.003851,0.003851,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0004.txt,1,1,0,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.0007,0.0007,0.0007,0.0007,0.0007,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0005.txt,1,1,0,0,149.68,149.68,149.68,149.68,149.68,0.0,0.0,3742.0,3742.0,3742,3742,3742,0.0,0.0,25.0,25.0,25,25,25,0.0,0.0,0.174245,0.174245,0.174245,0.174245,0.174245,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0006.txt,1,1,0,0,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.054643,0.054643,0.054643,0.054643,0.054643,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0007.txt,1,1,0,0,372.5,372.5,372.5,372.5,372.5,0.0,0.0,1490.0,1490.0,1490,1490,1490,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.121111,0.121111,0.121111,0.121111,0.121111,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0008.txt,1,1,0,0,146.6315789473684,146.6315789473684,146.6315789473684,146.6315789473684,146.6315789473684,0.0,0.0,2786.0,2786.0,2786,2786,2786,0.0,0.0,19.0,19.0,19,19,19,0.0,0.0,0.119171,0.119171,0.119171,0.119171,0.119171,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0009.txt,1,1,0,0,3.310344827586207,3.310344827586207,3.310344827586207,3.310344827586207,3.310344827586207,0.0,0.0,96.0,96.0,96,96,96,0.0,0.0,29.0,29.0,29,29,29,0.0,0.0,0.015758,0.015758,0.015758,0.015758,0.015758,0.0,0.0
a,af_useful_order-desc_prune-multi,instance_0010.txt,1,1,0,0,12.488721804511279,12.488721804511279,12.488721804511279,12.488721804511279,12.488721804511279,0.0,0.0,1661.0,1661.0,1661,1661,1661,0.0,0.0,133.0,133.0,133,133,133,0.0,0.0,0.694816,0.694816,0.694816,0.694816,0.694816,0.0,0.0
