dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,dalns_default,instance_0001.txt,1,1,0,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,30.0,30.0,30,30,30,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,50.03217,50.03217,50.03217,50.03217,50.03217,0.0,0.0
a,dalns_default,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,48.5276,48.5276,48.5276,48.5276,48.5276,0.0,0.0
a,dalns_default,instance_0003.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,48.0,48.0,48,48,48,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,58.754544,58.754544,58.754544,58.754544,58.754544,0.0,0.0
a,dalns_default,instance_0004.txt,1,1,0,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,48.596527,48.596527,48.596527,48.596527,48.596527,0.0,0.0
a,dalns_default,instance_0005.txt,1,1,0,1,150.29166666666666,150.29166666666666,150.29166666666666,150.29166666666666,150.29166666666666,0.0,0.0,3607.0,3607.0,3607,3607,3607,0.0,0.0,24.0,24.0,24,24,24,0.0,0.0,60.000404,60.000404,60.000404,60.000404,60.000404,0.0,0.0
a,dalns_default,instance_0006.txt,1,1,0,1,691.0,691.0,691.0,691.0,691.0,0.0,0.0,691.0,691.0,691,691,691,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,60.00046,60.00046,60.00046,60.00046,60.00046,0.0,0.0
a,dalns_default,instance_0007.txt,1,1,0,0,372.5,372.5,372.5,372.5,372.5,0.0,0.0,1490.0,1490.0,1490,1490,1490,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,57.473025,57.473025,57.473025,57.473025,57.473025,0.0,0.0
a,dalns_default,instance_0008.txt,1,1,0,0,148.61111111111111,148.61111111111111,148.61111111111111,148.61111111111111,148.61111111111111,0.0,0.0,2675.0,2675.0,2675,2675,2675,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,59.37128,59.37128,59.37128,59.37128,59.37128,0.0,0.0
a,dalns_default,instance_0009.txt,1,1,0,0,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,4.416666666666667,0.0,0.0,53.0,53.0,53,53,53,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,58.583453,58.583453,58.583453,58.583453,58.583453,0.0,0.0
a,dalns_default,instance_0010.txt,1,1,0,0,12.49618320610687,12.49618320610687,12.49618320610687,12.49618320610687,12.49618320610687,0.0,0.0,1637.0,1637.0,1637,1637,1637,0.0,0.0,131.0,131.0,131,131,131,0.0,0.0,59.597143,59.597143,59.597143,59.597143,59.597143,0.0,0.0
