dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
b,dalns_default,instance_0001.txt,1,1,0,0,631.5,631.5,631.5,631.5,631.5,0.0,0.0,1263.0,1263.0,1263,1263,1263,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,59.609526,59.609526,59.609526,59.609526,59.609526,0.0,0.0
b,dalns_default,instance_0002.txt,1,1,0,0,177.0909090909091,177.0909090909091,177.0909090909091,177.0909090909091,177.0909090909091,0.0,0.0,1948.0,1948.0,1948,1948,1948,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,59.835185,59.835185,59.835185,59.835185,59.835185,0.0,0.0
b,dalns_default,instance_0003.txt,1,1,0,0,139.66666666666666,139.66666666666666,139.66666666666666,139.66666666666666,139.66666666666666,0.0,0.0,1257.0,1257.0,1257,1257,1257,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,58.800529,58.800529,58.800529,58.800529,58.800529,0.0,0.0
b,dalns_default,instance_0004.txt,1,1,0,0,148.27777777777777,148.27777777777777,148.27777777777777,148.27777777777777,148.27777777777777,0.0,0.0,2669.0,2669.0,2669,2669,2669,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,56.723096,56.723096,56.723096,56.723096,56.723096,0.0,0.0
b,dalns_default,instance_0005.txt,1,1,0,0,340.3333333333333,340.3333333333333,340.3333333333333,340.3333333333333,340.3333333333333,0.0,0.0,1021.0,1021.0,1021,1021,1021,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,58.83122,58.83122,58.83122,58.83122,58.83122,0.0,0.0
b,dalns_default,instance_0006.txt,1,1,0,0,78.93103448275862,78.93103448275862,78.93103448275862,78.93103448275862,78.93103448275862,0.0,0.0,2289.0,2289.0,2289,2289,2289,0.0,0.0,29.0,29.0,29,29,29,0.0,0.0,59.523068,59.523068,59.523068,59.523068,59.523068,0.0,0.0
b,dalns_default,instance_0007.txt,1,1,0,0,108.0,108.0,108.0,108.0,108.0,0.0,0.0,108.0,108.0,108,108,108,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,53.552864,53.552864,53.552864,53.552864,53.552864,0.0,0.0
b,dalns_default,instance_0008.txt,1,1,0,1,195.25,195.25,195.25,195.25,195.25,0.0,0.0,2343.0,2343.0,2343,2343,2343,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,60.000536,60.000536,60.000536,60.000536,60.000536,0.0,0.0
b,dalns_default,instance_0009.txt,1,1,0,0,71.75,71.75,71.75,71.75,71.75,0.0,0.0,1148.0,1148.0,1148,1148,1148,0.0,0.0,16.0,16.0,16,16,16,0.0,0.0,59.162859,59.162859,59.162859,59.162859,59.162859,0.0,0.0
b,dalns_default,instance_0010.txt,1,1,0,1,444.0,444.0,444.0,444.0,444.0,0.0,0.0,1332.0,1332.0,1332,1332,1332,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,60.000793,60.000793,60.000793,60.000793,60.000793,0.0,0.0
b,dalns_default,instance_0011.txt,1,1,0,1,879.8,879.8,879.8,879.8,879.8,0.0,0.0,8798.0,8798.0,8798,8798,8798,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,60.00097,60.00097,60.00097,60.00097,60.00097,0.0,0.0
b,dalns_default,instance_0012.txt,1,1,0,1,529.3333333333334,529.3333333333334,529.3333333333334,529.3333333333334,529.3333333333334,0.0,0.0,6352.0,6352.0,6352,6352,6352,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,60.000728,60.000728,60.000728,60.000728,60.000728,0.0,0.0
b,dalns_default,instance_0013.txt,1,1,0,1,743.1111111111111,743.1111111111111,743.1111111111111,743.1111111111111,743.1111111111111,0.0,0.0,6688.0,6688.0,6688,6688,6688,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,60.000839,60.000839,60.000839,60.000839,60.000839,0.0,0.0
b,dalns_default,instance_0014.txt,1,1,0,1,869.5,869.5,869.5,869.5,869.5,0.0,0.0,5217.0,5217.0,5217,5217,5217,0.0,0.0,6.0,6.0,6,6,6,0.0,0.0,60.000516,60.000516,60.000516,60.000516,60.000516,0.0,0.0
b,dalns_default,instance_0015.txt,1,1,0,0,139.52941176470588,139.52941176470588,139.52941176470588,139.52941176470588,139.52941176470588,0.0,0.0,2372.0,2372.0,2372,2372,2372,0.0,0.0,17.0,17.0,17,17,17,0.0,0.0,54.435376,54.435376,54.435376,54.435376,54.435376,0.0,0.0
