dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,grasp_aisle_a02_full,instance_0001.txt,5,5,0,0,13.35,13.25,13.25,13.25,13.75,0.039999999999999994,0.19999999999999998,53.4,53.0,53,53,55,0.6399999999999999,0.7999999999999999,4.0,4.0,4,4,4,0.0,0.0,34.909447799999995,32.645369,43.418846,29.710043,43.418846,25.767198570632566,5.076140125196758
a,grasp_aisle_a02_full,instance_0002.txt,5,5,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0027731999999999995,0.002756,0.002763,0.002631,0.002966,1.1666159999999988e-08,0.00010800999953707984
a,grasp_aisle_a02_full,instance_0003.txt,5,5,0,5,8.043772893772893,8.153846153846153,8.153846153846153,7.571428571428571,8.416666666666666,0.08019173744448459,0.28318145674546663,104.4,106.0,106,101,106,4.239999999999999,2.0591260281974,13.0,13.0,13,12,14,0.4,0.6324555320336759,90.0002236,90.000089,90.000772,90.000079,90.000772,7.520103999910762e-08,0.00027422808025274803
a,grasp_aisle_a02_full,instance_0004.txt,5,5,0,0,2.8,2.8,2.8,2.8,2.8,0.0,0.0,28.0,28.0,28,28,28,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,7.188673800000001,7.144593,7.144593,6.777459,7.487535,0.06189144951455997,0.24877992184772463
a,grasp_aisle_a02_full,instance_0005.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0006.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0007.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0008.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0009.txt,5,5,0,5,2.5294331892752724,2.533333333333333,2.533333333333333,2.4516129032258065,2.6206896551724137,0.0029730298615562893,0.05452549735267244,152.2,152.0,152,152,153,0.16,0.4,60.2,60.0,60,58,62,1.7599999999999998,1.3266499161421599,90.00009359999999,90.000091,90.00009,90.00009,90.000103,2.4239999986739133e-11,4.923413448689754e-06
a,grasp_aisle_a02_full,instance_0010.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0011.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0012.txt,5,5,0,5,3.081443223443224,2.95,2.723076923076923,2.723076923076923,3.54,0.1043663141059185,0.3230577566100503,176.8,177.0,177,176,177,0.16,0.4,58.0,60.0,65,50,65,35.6,5.966573556070519,90.0000924,90.000091,90.000091,90.000082,90.000108,7.223999996036743e-11,8.499411742018823e-06
a,grasp_aisle_a02_full,instance_0013.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0014.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0015.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0016.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0017.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0018.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0019.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0020.txt,5,5,0,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.005037999999999999,0.004797,0.004874,0.004779,0.00596,2.1374119999999997e-07,0.00046232153313467884
a,grasp_aisle_fast_a02_full,instance_0001.txt,5,5,0,2,13.2,13.2,13.2,13.2,13.2,0.0,0.0,66.0,66.0,66,66,66,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,79.988807,77.136542,76.316299,66.491032,90.000082,80.85277495941358,8.991817111096822
a,grasp_aisle_fast_a02_full,instance_0002.txt,5,5,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0034923999999999997,0.003934,0.002778,0.002711,0.004096,3.7666744000000003e-07,0.000613732384675927
a,grasp_aisle_fast_a02_full,instance_0003.txt,5,5,0,5,7.02940476190476,7.066666666666666,7.571428571428571,6.3125,7.571428571428571,0.2532927437641722,0.5032819724211987,105.0,106.0,106,101,106,4.0,2.0,15.0,15.0,16,14,16,0.8,0.8944271909999159,90.00009279999999,90.000092,90.000085,90.000085,90.000101,3.215999999904292e-11,5.670978751418746e-06
a,grasp_aisle_fast_a02_full,instance_0004.txt,5,5,0,0,2.8,2.8,2.8,2.8,2.8,0.0,0.0,28.0,28.0,28,28,28,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,8.3270956,8.208378,7.294299,7.294299,9.72279,0.88261836654664,0.9394777094463924
a,grasp_aisle_fast_a02_full,instance_0005.txt,5,5,0,5,32.71135136376825,32.791044776119406,32.08029197080292,31.847826086956523,33.8,0.48837060043351804,0.6988351740099507,4394.4,4394.0,4394,4394,4395,0.24000000000000005,0.48989794855663565,134.4,134.0,137,130,138,8.239999999999998,2.8705400188814645,90.00025059999999,90.000248,90.000309,90.000216,90.000309,1.0254400000470727e-09,3.202249209613569e-05
a,grasp_aisle_fast_a02_full,instance_0006.txt,5,5,0,5,27.651162438659533,27.602836879432623,27.602836879432623,26.841379310344827,28.40875912408759,0.2513049583379394,0.5013032598516983,3892.0,3892.0,3892,3892,3892,0.0,0.0,140.8,141.0,141,137,145,6.56,2.5612496949731396,90.0002576,90.00026,90.000229,90.000229,90.000283,3.8383999996377517e-10,1.9591835033089044e-05
a,grasp_aisle_fast_a02_full,instance_0007.txt,5,5,0,5,26.809086812214513,26.53103448275862,27.091549295774648,25.993243243243242,28.080291970802918,0.5300102986225883,0.7280180620167251,3847.0,3847.0,3847,3847,3847,0.0,0.0,143.6,145.0,142,137,148,14.639999999999997,3.826225293941798,90.0002378,90.000241,90.000264,90.000215,90.000264,2.7016000006372985e-10,1.643654465098215e-05
a,grasp_aisle_fast_a02_full,instance_0008.txt,5,5,0,5,21.914953411347692,21.846153846153847,21.6793893129771,21.6793893129771,22.35433070866142,0.06377541487668711,0.2525379473993703,2839.8,2840.0,2840,2839,2840,0.15999999999999998,0.39999999999999997,129.6,130.0,131,127,131,2.2399999999999998,1.4966629547095764,90.0001788,90.000179,90.000207,90.000153,90.000207,3.09760000088869e-10,1.7600000002524688e-05
a,grasp_aisle_fast_a02_full,instance_0009.txt,5,5,0,5,2.241040484040926,2.25,2.467741935483871,2.0684931506849313,2.467741935483871,0.02180898486124936,0.14767865404739225,152.2,153.0,153,151,153,0.96,0.9797958971132712,68.2,68.0,73,62,73,18.96,4.354308211415448,90.00009659999999,90.000097,90.000104,90.00009,90.000104,2.983999998574669e-11,5.4626001121944385e-06
a,grasp_aisle_fast_a02_full,instance_0010.txt,5,5,0,5,5.9652199906313115,5.97945205479452,5.97945205479452,5.8006644518272426,6.147887323943662,0.01260405997982764,0.11226780473416072,1746.0,1746.0,1746,1746,1746,0.0,0.0,292.8,292.0,292,284,301,30.160000000000004,5.491812087098393,90.000181,90.000189,90.000189,90.000157,90.000202,3.411999999880925e-10,1.8471599822107788e-05
a,grasp_aisle_fast_a02_full,instance_0011.txt,5,5,0,5,6.932213935281179,6.928813559322034,6.928813559322034,6.816666666666666,7.076124567474048,0.009454068235751383,0.09723203297139983,2044.6,2045.0,2045,2044,2045,0.24,0.4898979485566356,295.0,295.0,295,289,300,17.2,4.147288270665544,90.000163,90.000161,90.000161,90.000153,90.000172,5.480000001318804e-11,7.402702210219457e-06
