instance,algorithm_left,algorithm_right,orders_jaccard,aisles_jaccard,items_jaccard,orders_overlap,aisles_overlap,items_overlap
instance_0001.txt,grasp_aisle_a02_full,grasp_aisle_fast_a02_full,0.6,0.5,0.5384615384615384,12,3,28
instance_0001.txt,grasp_aisle_a02_full,grasp_aisle_fast_a03_swap,0.6,0.5,0.5384615384615384,12,3,28
instance_0001.txt,grasp_aisle_a02_full,grasp_size_a01_swap,0.4117647058823529,0.5,0.42857142857142855,7,3,18
instance_0001.txt,grasp_aisle_a02_full,grasp_size_a03_nols,0.043478260869565216,0.06666666666666667,0.030303030303030304,1,1,2
instance_0001.txt,grasp_aisle_a02_full,grasp_size_a03_swap,0.4117647058823529,0.3333333333333333,0.35714285714285715,7,2,15
instance_0001.txt,grasp_aisle_a02_full,grasp_size_a05_swap,0.47058823529411764,0.4,0.38095238095238093,8,2,16
instance_0001.txt,grasp_aisle_a02_full,grasp_synergy_a03_full,0.7058823529411765,0.6,0.6666666666666666,12,3,28
instance_0001.txt,grasp_aisle_a02_full,grasp_synergy_a05_full,0.7058823529411765,0.6,0.6666666666666666,12,3,28
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_aisle_fast_a03_swap,1.0,1.0,1.0,17,5,44
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_size_a01_swap,0.4444444444444444,0.42857142857142855,0.4782608695652174,8,3,22
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_size_a03_nols,0.08333333333333333,0.13333333333333333,0.08571428571428572,2,2,6
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_size_a03_swap,0.4444444444444444,0.2857142857142857,0.41304347826086957,8,2,19
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_size_a05_swap,0.5882352941176471,0.6,0.5,10,3,22
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_synergy_a03_full,0.8235294117647058,0.8,0.7727272727272727,14,4,34
instance_0001.txt,grasp_aisle_fast_a02_full,grasp_synergy_a05_full,0.8235294117647058,0.8,0.7727272727272727,14,4,34
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_size_a01_swap,0.4444444444444444,0.42857142857142855,0.4782608695652174,8,3,22
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_nols,0.08333333333333333,0.13333333333333333,0.08571428571428572,2,2,6
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_swap,0.4444444444444444,0.2857142857142857,0.41304347826086957,8,2,19
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_size_a05_swap,0.5882352941176471,0.6,0.5,10,3,22
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a03_full,0.8235294117647058,0.8,0.7727272727272727,14,4,34
instance_0001.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a05_full,0.8235294117647058,0.8,0.7727272727272727,14,4,34
instance_0001.txt,grasp_size_a01_swap,grasp_size_a03_nols,0.2,0.21428571428571427,0.16666666666666666,3,3,8
instance_0001.txt,grasp_size_a01_swap,grasp_size_a03_swap,0.5,0.8,0.45161290322580644,6,4,14
instance_0001.txt,grasp_size_a01_swap,grasp_size_a05_swap,0.35714285714285715,0.3333333333333333,0.35294117647058826,5,2,12
instance_0001.txt,grasp_size_a01_swap,grasp_synergy_a03_full,0.5333333333333333,0.5,0.6111111111111112,8,3,22
instance_0001.txt,grasp_size_a01_swap,grasp_synergy_a05_full,0.5333333333333333,0.5,0.6111111111111112,8,3,22
instance_0001.txt,grasp_size_a03_nols,grasp_size_a03_swap,0.2,0.23076923076923078,0.17777777777777778,3,3,8
instance_0001.txt,grasp_size_a03_nols,grasp_size_a05_swap,0.11764705882352941,0.15384615384615385,0.125,2,2,6
instance_0001.txt,grasp_size_a03_nols,grasp_synergy_a03_full,0.09523809523809523,0.14285714285714285,0.1,2,2,6
instance_0001.txt,grasp_size_a03_nols,grasp_synergy_a05_full,0.09523809523809523,0.14285714285714285,0.1,2,2,6
instance_0001.txt,grasp_size_a03_swap,grasp_size_a05_swap,0.7272727272727273,0.4,0.7916666666666666,8,2,19
instance_0001.txt,grasp_size_a03_swap,grasp_synergy_a03_full,0.5333333333333333,0.3333333333333333,0.5277777777777778,8,2,19
instance_0001.txt,grasp_size_a03_swap,grasp_synergy_a05_full,0.5333333333333333,0.3333333333333333,0.5277777777777778,8,2,19
instance_0001.txt,grasp_size_a05_swap,grasp_synergy_a03_full,0.7142857142857143,0.75,0.6470588235294118,10,3,22
instance_0001.txt,grasp_size_a05_swap,grasp_synergy_a05_full,0.7142857142857143,0.75,0.6470588235294118,10,3,22
instance_0001.txt,grasp_synergy_a03_full,grasp_synergy_a05_full,1.0,1.0,1.0,14,4,34
instance_0002.txt,grasp_aisle_a02_full,grasp_aisle_fast_a02_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_aisle_fast_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_size_a01_swap,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_aisle_a02_full,grasp_size_a03_nols,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_size_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_size_a05_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_a02_full,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_aisle_fast_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_size_a01_swap,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_size_a03_nols,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_size_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_size_a05_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a02_full,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_size_a01_swap,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_nols,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_size_a05_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a01_swap,grasp_size_a03_nols,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_size_a01_swap,grasp_size_a03_swap,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_size_a01_swap,grasp_size_a05_swap,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_size_a01_swap,grasp_synergy_a03_full,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_size_a01_swap,grasp_synergy_a05_full,0.0,0.0,0.0,0,0,0
instance_0002.txt,grasp_size_a03_nols,grasp_size_a03_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_nols,grasp_size_a05_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_nols,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_nols,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_swap,grasp_size_a05_swap,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_swap,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a03_swap,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a05_swap,grasp_synergy_a03_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_size_a05_swap,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0002.txt,grasp_synergy_a03_full,grasp_synergy_a05_full,1.0,1.0,1.0,1,1,1
instance_0003.txt,grasp_aisle_a02_full,grasp_aisle_fast_a02_full,0.5483870967741935,0.5,0.6081081081081081,17,8,45
instance_0003.txt,grasp_aisle_a02_full,grasp_aisle_fast_a03_swap,0.48484848484848486,0.3333333333333333,0.49411764705882355,16,6,42
instance_0003.txt,grasp_aisle_a02_full,grasp_size_a01_swap,0.5714285714285714,0.5454545454545454,0.5849056603773585,12,6,31
instance_0003.txt,grasp_aisle_a02_full,grasp_size_a03_nols,0.2222222222222222,0.3333333333333333,0.1951219512195122,6,8,16
instance_0003.txt,grasp_aisle_a02_full,grasp_size_a03_swap,0.5714285714285714,0.5454545454545454,0.5849056603773585,12,6,31
instance_0003.txt,grasp_aisle_a02_full,grasp_size_a05_swap,0.5454545454545454,0.5,0.5178571428571429,12,6,29
instance_0003.txt,grasp_aisle_a02_full,grasp_synergy_a03_full,0.6071428571428571,0.5333333333333333,0.6081081081081081,17,8,45
instance_0003.txt,grasp_aisle_a02_full,grasp_synergy_a05_full,0.7916666666666666,0.6923076923076923,0.7230769230769231,19,9,47
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_aisle_fast_a03_swap,0.6176470588235294,0.5294117647058824,0.5909090909090909,21,9,52
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_size_a01_swap,0.4444444444444444,0.46153846153846156,0.4696969696969697,12,6,31
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_size_a03_nols,0.18181818181818182,0.36,0.18085106382978725,6,9,17
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_size_a03_swap,0.4444444444444444,0.46153846153846156,0.4696969696969697,12,6,31
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_size_a05_swap,0.3793103448275862,0.3333333333333333,0.38028169014084506,11,5,27
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_synergy_a03_full,0.7,0.6666666666666666,0.6708860759493671,21,10,53
instance_0003.txt,grasp_aisle_fast_a02_full,grasp_synergy_a05_full,0.53125,0.5,0.524390243902439,17,8,43
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_size_a01_swap,0.3793103448275862,0.35714285714285715,0.4,11,5,30
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_nols,0.1111111111111111,0.21428571428571427,0.11214953271028037,4,6,12
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_swap,0.3793103448275862,0.35714285714285715,0.4,11,5,30
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_size_a05_swap,0.3225806451612903,0.25,0.325,10,4,26
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a03_full,0.5294117647058824,0.3888888888888889,0.5909090909090909,18,7,52
instance_0003.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a05_full,0.5625,0.4117647058823529,0.6419753086419753,18,7,52
instance_0003.txt,grasp_size_a01_swap,grasp_size_a03_nols,0.2,0.22727272727272727,0.15151515151515152,4,5,10
instance_0003.txt,grasp_size_a01_swap,grasp_size_a03_swap,1.0,1.0,1.0,12,6,31
instance_0003.txt,grasp_size_a01_swap,grasp_size_a05_swap,0.5625,0.4444444444444444,0.575,9,4,23
instance_0003.txt,grasp_size_a01_swap,grasp_synergy_a03_full,0.5,0.5,0.4696969696969697,12,6,31
instance_0003.txt,grasp_size_a01_swap,grasp_synergy_a05_full,0.5454545454545454,0.5454545454545454,0.5254237288135594,12,6,31
instance_0003.txt,grasp_size_a03_nols,grasp_size_a03_swap,0.2,0.22727272727272727,0.15151515151515152,4,5,10
instance_0003.txt,grasp_size_a03_nols,grasp_size_a05_swap,0.25,0.21739130434782608,0.18461538461538463,5,5,12
instance_0003.txt,grasp_size_a03_nols,grasp_synergy_a03_full,0.2,0.2692307692307692,0.18085106382978725,6,7,17
instance_0003.txt,grasp_size_a03_nols,grasp_synergy_a05_full,0.1724137931034483,0.3333333333333333,0.13043478260869565,5,8,12
instance_0003.txt,grasp_size_a03_swap,grasp_size_a05_swap,0.5625,0.4444444444444444,0.575,9,4,23
instance_0003.txt,grasp_size_a03_swap,grasp_synergy_a03_full,0.5,0.5,0.4696969696969697,12,6,31
instance_0003.txt,grasp_size_a03_swap,grasp_synergy_a05_full,0.5454545454545454,0.5454545454545454,0.5254237288135594,12,6,31
instance_0003.txt,grasp_size_a05_swap,grasp_synergy_a03_full,0.4230769230769231,0.35714285714285715,0.38028169014084506,11,5,27
instance_0003.txt,grasp_size_a05_swap,grasp_synergy_a05_full,0.5217391304347826,0.5,0.46774193548387094,12,6,29
instance_0003.txt,grasp_synergy_a03_full,grasp_synergy_a05_full,0.6428571428571429,0.5333333333333333,0.6891891891891891,18,8,51
instance_0004.txt,grasp_aisle_a02_full,grasp_aisle_fast_a02_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_a02_full,grasp_aisle_fast_a03_swap,0.45454545454545453,0.3,0.4166666666666667,5,6,15
instance_0004.txt,grasp_aisle_a02_full,grasp_size_a01_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_aisle_a02_full,grasp_size_a03_nols,0.3333333333333333,0.20833333333333334,0.2631578947368421,3,5,10
instance_0004.txt,grasp_aisle_a02_full,grasp_size_a03_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_aisle_a02_full,grasp_size_a05_swap,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_a02_full,grasp_synergy_a03_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_a02_full,grasp_synergy_a05_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_aisle_fast_a03_swap,0.45454545454545453,0.3,0.4166666666666667,5,6,15
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_size_a01_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_size_a03_nols,0.3333333333333333,0.20833333333333334,0.2631578947368421,3,5,10
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_size_a03_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_size_a05_swap,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_synergy_a03_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_fast_a02_full,grasp_synergy_a05_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_size_a01_swap,0.6,0.625,0.6060606060606061,6,10,20
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_nols,0.23076923076923078,0.25,0.23529411764705882,3,7,12
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_size_a03_swap,0.6,0.625,0.6060606060606061,6,10,20
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_size_a05_swap,0.45454545454545453,0.3,0.4166666666666667,5,6,15
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a03_full,0.45454545454545453,0.3,0.4166666666666667,5,6,15
instance_0004.txt,grasp_aisle_fast_a03_swap,grasp_synergy_a05_full,0.45454545454545453,0.3,0.4166666666666667,5,6,15
instance_0004.txt,grasp_size_a01_swap,grasp_size_a03_nols,0.2,0.20833333333333334,0.16279069767441862,2,5,7
instance_0004.txt,grasp_size_a01_swap,grasp_size_a03_swap,1.0,1.0,1.0,6,10,20
instance_0004.txt,grasp_size_a01_swap,grasp_size_a05_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a01_swap,grasp_synergy_a03_full,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a01_swap,grasp_synergy_a05_full,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a03_nols,grasp_size_a03_swap,0.2,0.20833333333333334,0.16279069767441862,2,5,7
instance_0004.txt,grasp_size_a03_nols,grasp_size_a05_swap,0.3333333333333333,0.20833333333333334,0.2631578947368421,3,5,10
instance_0004.txt,grasp_size_a03_nols,grasp_synergy_a03_full,0.3333333333333333,0.20833333333333334,0.2631578947368421,3,5,10
instance_0004.txt,grasp_size_a03_nols,grasp_synergy_a05_full,0.3333333333333333,0.20833333333333334,0.2631578947368421,3,5,10
instance_0004.txt,grasp_size_a03_swap,grasp_size_a05_swap,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a03_swap,grasp_synergy_a03_full,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a03_swap,grasp_synergy_a05_full,0.5,0.42857142857142855,0.52,4,6,13
instance_0004.txt,grasp_size_a05_swap,grasp_synergy_a03_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_size_a05_swap,grasp_synergy_a05_full,1.0,1.0,1.0,6,10,18
instance_0004.txt,grasp_synergy_a03_full,grasp_synergy_a05_full,1.0,1.0,1.0,6,10,18
instance_0005.txt,grasp_aisle_a02_full,grasp_aisle_fast_a02_full,0.0,0.0,0.0,0,0,0
instance_0005.txt,grasp_aisle_a02_full,grasp_aisle_fast_a03_swap,0.0,0.0,0.0,0,0,0
instance_0005.txt,grasp_aisle_a02_full,grasp_size_a01_swap,0.0,0.0,0.0,0,0,0
