dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,grasp_aisle_a02_full,instance_0001.txt,5,5,0,0,13.23,13.25,13.25,13.2,13.25,0.000600000000000017,0.02449489742783213,58.2,53.0,53,53,66,40.559999999999995,6.368673331236263,4.4,4.0,4,4,5,0.24000000000000005,0.48989794855663565,0.5209026000000001,0.531247,0.468344,0.468344,0.570663,0.0019005504682400008,0.04359530328189037
a,grasp_aisle_a02_full,instance_0002.txt,5,5,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0039306,0.003812,0.005789,0.00205,0.005789,1.4405566399999999e-06,0.0012002319109238847
a,grasp_aisle_a02_full,instance_0003.txt,5,5,0,0,8.650932400932401,8.75,8.153846153846153,8.153846153846153,9.363636363636363,0.20904418037285186,0.4572134953966821,105.2,106.0,106,103,106,1.3599999999999999,1.16619037896906,12.2,12.0,13,11,13,0.56,0.7483314773547883,1.6869762000000001,1.799897,1.337002,1.337002,1.990304,0.06388144497136,0.2527477892511822
a,grasp_aisle_a02_full,instance_0004.txt,5,5,0,0,2.8,2.8,2.8,2.8,2.8,0.0,0.0,28.0,28.0,28,28,28,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,0.056028,0.049297,0.049297,0.040404,0.07807,0.000185467794,0.013618656101098962
a,grasp_aisle_a02_full,instance_0005.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0006.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0007.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0008.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0009.txt,5,5,0,0,3.7622050162627416,3.763157894736842,3.7,3.7,3.838709677419355,0.002617342626196194,0.05115997093623289,125.0,119.0,111,104,148,305.2,17.469974241537965,33.2,31.0,30,28,39,19.76,4.445222154178574,29.132424000000004,28.723763,28.423933,28.423933,30.445499,0.5359123781744006,0.7320603651164299
a,grasp_aisle_a02_full,instance_0010.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0011.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0012.txt,5,5,0,0,5.779982718894009,5.67741935483871,5.892857142857143,5.53125,6.25,0.07193612428061752,0.2682091055139954,168.0,172.0,165,150,177,98.8,9.939818911831342,29.2,31.0,31,24,32,8.559999999999999,2.9257477676655586,74.982292,77.052544,78.36146,68.633244,78.36146,12.68010381784518,3.560913340400912
a,grasp_aisle_a02_full,instance_0013.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0014.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,grasp_aisle_a02_full,instance_0015.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
