dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,pan_liu_sd1_oa1,instance_0001.txt,1,1,0,0,3.090909090909091,3.090909090909091,3.090909090909091,3.090909090909091,3.090909090909091,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,0.003803,0.003803,0.003803,0.003803,0.003803,0.0,0.0
a,pan_liu_sd1_oa1,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000139,0.000139,0.000139,0.000139,0.000139,0.0,0.0
a,pan_liu_sd1_oa1,instance_0003.txt,1,1,0,0,3.212121212121212,3.212121212121212,3.212121212121212,3.212121212121212,3.212121212121212,0.0,0.0,106.0,106.0,106,106,106,0.0,0.0,33.0,33.0,33,33,33,0.0,0.0,0.007182,0.007182,0.007182,0.007182,0.007182,0.0,0.0
a,pan_liu_sd1_oa1,instance_0004.txt,1,1,0,0,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,18.0,18.0,18,18,18,0.0,0.0,0.001815,0.001815,0.001815,0.001815,0.001815,0.0,0.0
a,pan_liu_sd1_oa1,instance_0005.txt,1,1,0,0,32.55555555555556,32.55555555555556,32.55555555555556,32.55555555555556,32.55555555555556,0.0,0.0,4395.0,4395.0,4395,4395,4395,0.0,0.0,135.0,135.0,135,135,135,0.0,0.0,2.3864,2.3864,2.3864,2.3864,2.3864,0.0,0.0
a,pan_liu_sd1_oa1,instance_0006.txt,1,1,0,0,44.22727272727273,44.22727272727273,44.22727272727273,44.22727272727273,44.22727272727273,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,88.0,88.0,88,88,88,0.0,0.0,17.160113,17.160113,17.160113,17.160113,17.160113,0.0,0.0
a,pan_liu_sd1_oa1,instance_0007.txt,1,1,0,0,38.47,38.47,38.47,38.47,38.47,0.0,0.0,3847.0,3847.0,3847,3847,3847,0.0,0.0,100.0,100.0,100,100,100,0.0,0.0,18.880553,18.880553,18.880553,18.880553,18.880553,0.0,0.0
a,pan_liu_sd1_oa1,instance_0008.txt,1,1,0,0,22.362204724409448,22.362204724409448,22.362204724409448,22.362204724409448,22.362204724409448,0.0,0.0,2840.0,2840.0,2840,2840,2840,0.0,0.0,127.0,127.0,127,127,127,0.0,0.0,1.329306,1.329306,1.329306,1.329306,1.329306,0.0,0.0
a,pan_liu_sd1_oa1,instance_0009.txt,1,1,0,0,3.3260869565217392,3.3260869565217392,3.3260869565217392,3.3260869565217392,3.3260869565217392,0.0,0.0,153.0,153.0,153,153,153,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.013796,0.013796,0.013796,0.013796,0.013796,0.0,0.0
a,pan_liu_sd1_oa1,instance_0010.txt,1,1,0,0,6.083623693379791,6.083623693379791,6.083623693379791,6.083623693379791,6.083623693379791,0.0,0.0,1746.0,1746.0,1746,1746,1746,0.0,0.0,287.0,287.0,287,287,287,0.0,0.0,1.338899,1.338899,1.338899,1.338899,1.338899,0.0,0.0
