dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,sa_grasp_full_geo,instance_0001.txt,5,5,0,0,12.233333333333333,12.5,11.166666666666666,9.25,15.0,3.759444444444445,1.9389286847237175,50.4,50.0,67,37,67,98.24000000000001,9.911609354691095,4.2,4.0,4,3,6,0.96,0.9797958971132712,2.2367394000000003,2.019393,2.514631,1.965131,2.674854,0.08834621257383997,0.2972309078373916
a,sa_grasp_full_geo,instance_0002.txt,5,5,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.023493800000000002,0.024343,0.027911,0.015283,0.027911,1.9124876160000002e-05,0.004373199762187865
a,sa_grasp_full_geo,instance_0003.txt,5,5,0,0,9.36020202020202,8.833333333333334,8.555555555555555,8.545454545454545,11.666666666666666,1.3868607693092536,1.1776505293631272,71.6,77.0,77,35,106,741.8399999999999,27.2367398930195,8.0,9.0,9,3,12,12.0,3.4641016151377544,3.136076,3.028025,3.064568,2.953785,3.638971,0.06456309887920005,0.25409269741415247
a,sa_grasp_full_geo,instance_0004.txt,5,5,0,0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.5730929999999999,0.602563,0.442901,0.400365,0.812448,0.021221336959599994,0.1456754507787774
a,sa_grasp_full_geo,instance_0005.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,sa_grasp_full_geo,instance_0006.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,sa_grasp_full_geo,instance_0007.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,sa_grasp_full_geo,instance_0008.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,sa_grasp_full_geo,instance_0009.txt,5,5,0,0,4.013763440860215,4.0,3.935483870967742,3.935483870967742,4.125,0.004337478321193201,0.06585953477814128,105.6,119.0,122,66,124,485.84000000000003,22.041778512633684,26.4,30.0,31,16,31,33.839999999999996,5.817215828899594,20.656540999999997,23.321675,18.975112,13.72209,23.793449,15.154925896421199,3.892932814270136
a,sa_grasp_full_geo,instance_0010.txt,5,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
