dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
x,dalns_default,instance_0001.txt,1,1,0,0,60.375,60.375,60.375,60.375,60.375,0.0,0.0,966.0,966.0,966,966,966,0.0,0.0,16.0,16.0,16,16,16,0.0,0.0,58.746878,58.746878,58.746878,58.746878,58.746878,0.0,0.0
x,dalns_default,instance_0002.txt,1,1,0,0,170.33333333333334,170.33333333333334,170.33333333333334,170.33333333333334,170.33333333333334,0.0,0.0,511.0,511.0,511,511,511,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,56.807917,56.807917,56.807917,56.807917,56.807917,0.0,0.0
x,dalns_default,instance_0003.txt,1,1,0,1,664.6666666666666,664.6666666666666,664.6666666666666,664.6666666666666,664.6666666666666,0.0,0.0,1994.0,1994.0,1994,1994,1994,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,60.000306,60.000306,60.000306,60.000306,60.000306,0.0,0.0
x,dalns_default,instance_0004.txt,1,1,0,1,181.36363636363637,181.36363636363637,181.36363636363637,181.36363636363637,181.36363636363637,0.0,0.0,3990.0,3990.0,3990,3990,3990,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,60.000295,60.000295,60.000295,60.000295,60.000295,0.0,0.0
x,dalns_default,instance_0005.txt,1,1,0,0,628.6666666666666,628.6666666666666,628.6666666666666,628.6666666666666,628.6666666666666,0.0,0.0,1886.0,1886.0,1886,1886,1886,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,59.75691,59.75691,59.75691,59.75691,59.75691,0.0,0.0
x,dalns_default,instance_0006.txt,1,1,0,0,180.58333333333334,180.58333333333334,180.58333333333334,180.58333333333334,180.58333333333334,0.0,0.0,2167.0,2167.0,2167,2167,2167,0.0,0.0,12.0,12.0,12,12,12,0.0,0.0,58.860701,58.860701,58.860701,58.860701,58.860701,0.0,0.0
x,dalns_default,instance_0007.txt,1,1,0,0,105.73333333333333,105.73333333333333,105.73333333333333,105.73333333333333,105.73333333333333,0.0,0.0,1586.0,1586.0,1586,1586,1586,0.0,0.0,15.0,15.0,15,15,15,0.0,0.0,59.512726,59.512726,59.512726,59.512726,59.512726,0.0,0.0
x,dalns_default,instance_0008.txt,1,1,0,0,412.4,412.4,412.4,412.4,412.4,0.0,0.0,4124.0,4124.0,4124,4124,4124,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,59.019527,59.019527,59.019527,59.019527,59.019527,0.0,0.0
x,dalns_default,instance_0009.txt,1,1,0,1,804.5,804.5,804.5,804.5,804.5,0.0,0.0,6436.0,6436.0,6436,6436,6436,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,60.00127,60.00127,60.00127,60.00127,60.00127,0.0,0.0
x,dalns_default,instance_0010.txt,1,1,0,1,958.5,958.5,958.5,958.5,958.5,0.0,0.0,7668.0,7668.0,7668,7668,7668,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,60.000784,60.000784,60.000784,60.000784,60.000784,0.0,0.0
x,dalns_default,instance_0011.txt,1,1,0,1,1043.5,1043.5,1043.5,1043.5,1043.5,0.0,0.0,2087.0,2087.0,2087,2087,2087,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,60.000335,60.000335,60.000335,60.000335,60.000335,0.0,0.0
x,dalns_default,instance_0012.txt,1,1,0,0,1324.6666666666667,1324.6666666666667,1324.6666666666667,1324.6666666666667,1324.6666666666667,0.0,0.0,3974.0,3974.0,3974,3974,3974,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,59.273881,59.273881,59.273881,59.273881,59.273881,0.0,0.0
x,dalns_default,instance_0013.txt,1,1,0,1,1051.2857142857142,1051.2857142857142,1051.2857142857142,1051.2857142857142,1051.2857142857142,0.0,0.0,7359.0,7359.0,7359,7359,7359,0.0,0.0,7.0,7.0,7,7,7,0.0,0.0,60.00104,60.00104,60.00104,60.00104,60.00104,0.0,0.0
x,dalns_default,instance_0014.txt,1,1,0,0,1619.6666666666667,1619.6666666666667,1619.6666666666667,1619.6666666666667,1619.6666666666667,0.0,0.0,4859.0,4859.0,4859,4859,4859,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,54.966643,54.966643,54.966643,54.966643,54.966643,0.0,0.0
x,dalns_default,instance_0015.txt,1,1,0,0,254.6,254.6,254.6,254.6,254.6,0.0,0.0,2546.0,2546.0,2546,2546,2546,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,55.903376,55.903376,55.903376,55.903376,55.903376,0.0,0.0
